Probe,Covariance,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
T1,7.26431182353593e-07,0.2735756592403205,1.1181182850812333e-125,0.3909421939433381,1.2562793406431587e-265
T2,1.2048736151185886e-07,0.1618597930176823,4.149076725721037e-44,0.3426843211904699,1.390704725608629e-200
T3,1.2176287394874222e-07,0.15173743900215336,6.480656152427452e-39,0.278904452076516,9.567497455659734e-131
T5,-1.6442532875931635e-07,-0.17700090639728988,1.563209605143027e-52,-0.39724257542892305,5.756388705725101e-275
T6,4.2483278273753366e-08,0.08011353619821213,6.867541866940283e-12,0.1911650536959482,3.912191003479029e-61
T7,8.918555117595307e-08,0.07564218331893911,9.396512244572078e-11,0.10211476666679299,2.0728890398939424e-18
T8,2.764352130077589e-08,0.05457125794628939,3.0254797997953124e-06,0.16590873942241652,2.7706597603457926e-46
