Probe,Covariance,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,r2
T1,9.40857944721836e-07,0.25316320598794106,1.1239160017458103e-26,0.28760424824446434,2.9008791010098053e-34,0.06409160886609268
T2,-9.580720955280663e-09,-0.004777367925773064,0.8426938748383367,-0.07025871064933659,0.0034768233775279754,2.2823244298205703e-05
T3,3.458143408313622e-07,0.11478797536467858,1.7182844817537152e-06,0.010370360443016289,0.6666229420416192,0.013176279288322048
T5,-5.295473328452723e-07,-0.3415440030401815,1.8183054126012866e-48,-0.4066810557813025,8.192371217099613e-70,0.11665230601271151
T6,-2.347789565495417e-07,-0.2760568608509294,1.3494055311461412e-31,-0.34439701577230175,2.6596941366574677e-49,0.07620739042286936
T7,-2.732694077329967e-07,-0.05605059545294195,0.01979952606583184,-0.21862452156322904,3.823935737946246e-20,0.003141669250629353
T8,-1.3726334595263367e-07,-0.15515961017816232,8.902418864888301e-11,-0.15306376716221046,1.5964669861808464e-10,0.0240745046306393
