Probe,Covariance,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
T1,-1.9950135689087868e-06,-0.36882737451421405,1.9893227355009395e-234,-0.6063636384348698,0.0
T2,-1.2048736151185886e-07,-0.1618597930176823,4.149076725721037e-44,-0.3426843211904699,1.390704725608629e-200
T3,-1.2176287394874222e-07,-0.15173743900215336,6.480656152427452e-39,-0.278904452076516,9.567497455659734e-131
T5,-1.642544120123541e-07,-0.17671036203311552,2.307392011040991e-52,-0.39721998460198776,6.22302235000807e-275
T6,-6.479691609240082e-08,-0.09774157363167553,5.4507184860015386e-17,-0.2169234152788651,1.330839005310073e-78
T7,-9.576031552813089e-08,-0.07917219430718866,1.2057673894307713e-11,-0.1045412079709619,3.1774260926239273e-19
T8,-4.6594926262466107e-08,-0.07935997426408767,1.0782576228424344e-11,-0.18366424778921617,1.7181513314987364e-56
