Probe,Avg HF
T1,2.367514114527561e-06
T2,-3.6646037937891998e-06
T3,-1.2752407934322572e-06
T5,6.989908418744582e-07
T6,-4.021007791545561e-07
T7,-1.939616954770282e-06
T8,-3.864083233899342e-07
