Probe,Avg HF
T1,2.367402804071247e-06
T2,-3.664510992366412e-06
T3,-1.2751398625954197e-06
T5,6.991409669211196e-07
T6,-4.020013704834606e-07
T7,-1.938242676844784e-06
T8,-3.863237165394402e-07
