Probe,Avg HF
T1,-2.942836256654525e-06
T2,-3.771873353880639e-06
T3,-3.4803121322499297e-06
T5,1.0475862706640515e-06
T6,-6.616441393480902e-07
T7,-1.4337036331371997e-06
T8,-6.051070066311759e-07
