Probe,Avg HF
T1,2.5814054651396425e-06
T2,-3.618731364275668e-06
T3,-9.966455294354027e-07
T5,6.185566606389391e-07
T6,-4.441575246132208e-07
T7,-1.6527852521599356e-06
T8,-4.124505384769942e-07
