size,time
2.0,0.0
20.0,0.0
45.0,0.0
63.0,0.0
100.0,0.0
200.0,1.75
280.0,1.5
500.0,1.5
700.0,1.25
850.0,1.0
1000.0,0.75
2000.0,0.0
