size,time
2.0,0.0
20.0,0.0
45.0,0.0
63.0,0.0
75.0,0.0
88.0,0.0
100.0,0.0
144.0,0.0
200.0,1.75
280.0,1.5
330.0,2.0
460.0,1.75
500.0,1.5
550.0,1.5
600.0,1.5
650.0,1.5
700.0,1.25
750.0,1.25
850.0,1.0
900.0,1.0
1000.0,0.75
1200.0,0.25
1400.0,0.25
1600.0,0.0
1800.0,0.0
2000.0,0.0
