size,time,class
2.0,0.0,Silt
20.0,0.0,Silt
45.0,0.0,Silt
63.0,0.0,Fine Sand
75.0,0.0,Fine Sand
88.0,0.0,Fine Sand
100.0,0.0,Fine Sand
144.0,0.0,Fine Sand
200.0,64.75,Fine Sand
280.0,191.75,Fine Sand
330.0,337.5,Fine Sand
460.0,1083.0,Fine Sand
500.0,1267.5,Fine Sand
600.0,1826.75,Fine Sand
700.0,2193.75,Fine Sand
850.0,2211.25,Coarse Sand
900.0,2192.25,Coarse Sand
1000.0,2149.25,Coarse Sand
1200.0,2065.0,Coarse Sand
1400.0,1956.25,Coarse Sand
1600.0,1835.0,Coarse Sand
1800.0,1719.0,Coarse Sand
2000.0,1604.5,Coarse Sand
