size,time,class
2.0,0.0,Silt
20.0,0.0,Silt
45.0,0.0,Silt
63.0,0.0,Fine Sand
75.0,0.0,Fine Sand
88.0,0.0,Fine Sand
100.0,0.0,Fine Sand
144.0,0.0,Fine Sand
200.0,36.75,Fine Sand
280.0,9.0,Fine Sand
330.0,6.75,Fine Sand
460.0,2.75,Fine Sand
500.0,1.5,Fine Sand
550.0,1.5,Fine Sand
600.0,1.5,Fine Sand
650.0,1.5,Fine Sand
700.0,1.25,Fine Sand
750.0,1.25,Fine Sand
850.0,1.0,Coarse Sand
900.0,1.0,Coarse Sand
1000.0,0.75,Coarse Sand
1200.0,0.25,Coarse Sand
1400.0,0.25,Coarse Sand
1600.0,0.0,Coarse Sand
1800.0,0.0,Coarse Sand
2000.0,0.0,Coarse Sand
