size,time
2.0,0.0
20.0,0.0
45.0,0.0
63.0,0.0
75.0,0.0
88.0,0.0
100.0,0.0
144.0,0.0
200.0,0.0
280.0,0.0
330.0,0.0
460.0,0.0
500.0,0.0
600.0,8.75
700.0,181.25
850.0,221.5
900.0,221.5
1000.0,221.5
1200.0,221.5
1400.0,221.5
1600.0,221.5
1800.0,221.5
2000.0,221.5
