Date_Time,Sample ,SSC,Q,Qs
2023-04-17 16:30:00,D1,23.16,0.1718863280113261,3.9808873567423126
2023-04-17 20:30:00,D2,15.0,0.178582536262764,2.67873804394146
2023-04-18 00:30:00,D3,8.95,0.1736694335848236,1.554341430584171
2023-04-18 04:30:00,D4,9.5,0.1696517089600011,1.6116912351200103
2023-04-18 16:30:00,D7,23.0,0.1843833664610841,4.2408174286049345
2023-04-18 16:30:00,UP7,21.5,0.1843833664610841,3.9642423789133083
2023-04-18 21:30:00,D8,15.0,0.1848272294061735,2.7724084410926024
2023-04-18 21:30:00,UP8,11.05,0.1848272294061735,2.042340884938217
2023-04-19 02:30:00,D9,10.0,0.1767917785263275,1.767917785263275
2023-04-19 02:30:00,UP9,18.0,0.1767917785263275,3.182252013473895
2023-04-19 07:30:00,UP10,6.5,0.1727817076946449,1.123081100015192
2023-04-19 12:30:00,D11,3.5,0.1736694335848236,0.6078430175468825
2023-04-19 22:30:00,UP13,6.0,0.1940509353389573,1.1643056120337438
2023-04-20 03:30:00,UP14,8.89,0.1915989306302463,1.7033144933028896
2023-04-20 23:30:00,UP17,4.67,0.1817388920852647,0.8487206260381861
2023-04-21 09:30:00,D16,6.25,0.1768085288403878,1.1050533052524238
2023-04-21 19:30:00,UP20,17.86,0.1652100277730566,2.9506510960267907
2023-04-22 05:30:00,UP22,6.67,0.1610587701336048,1.074261996791144
2023-04-22 15:30:00,UP24,5.33,0.1593875387258211,0.8495355814086264
2023-04-22 20:30:00,UP25,8.0,0.1610587701336048,1.2884701610688385
2023-04-24 02:00:00,UP30,8.67,0.174331508699146,1.5114541804215957
2023-04-24 17:00:00,UP33,15.0,0.1899567135377566,2.849350703066349
2023-04-24 22:00:00,UP34,7.14,0.1899567135377566,1.356290934659582
2023-04-28 16:00:00,UP48,6.67,0.1535423246782933,1.0241273056042162
2023-04-30 13:00:00,UP56,12.67,0.1693506874765758,2.1456732103282157
2023-04-30 18:00:00,D50,42.0,0.1866689814563935,7.840097221168526
2023-04-30 18:00:00,UP57,45.0,0.1866689814563935,8.400104165537707
2023-04-30 23:00:00,D51,17.42,0.1866830517202042,3.2520187609659574
2023-05-01 14:00:00,D54,6.0,0.1825712058172706,1.0954272349036236
2023-05-01 20:00:00,D55,22.14,0.1981355552569641,4.386721193389185
2023-05-01 20:00:00,UP62,20.0,0.1981355552569641,3.9627111051392823
2023-05-02 03:00:00,D56,10.0,0.2021967703809111,2.021967703809111
2023-05-02 10:00:00,D57,6.43,0.1932381889081355,1.2425215546793111
2023-05-02 17:00:00,D58,18.0,0.2280248058851227,4.104446505932208
2023-05-03 14:00:00,UP68,10.67,0.2143530756537636,2.287147317225658
2023-05-03 20:00:00,D65,20.67,0.2771364283834314,5.728409974685527
2023-05-03 20:00:00,UP69,24.38,0.2771364283834314,6.756586123988057
2023-05-04 02:00:00,D64,11.88,0.2645716355246245,3.143111030032539
2023-05-04 20:00:00,UP77,0.71,0.2511419151349705,0.17831075974582902
2023-05-04 23:00:00,D70,7.14,0.2479749320329214,1.7705410147150586
2023-05-04 23:00:00,UP78,5.71,0.2479749320329214,1.415936861907981
2023-05-05 11:00:00,UP82,0.67,0.2167754318990374,0.14523953937235506
