Size ,D1,D2,D3,D4,D7,D8,D9,D11,D16,D50,D51,D54,D55,D56,D57,D58,D65,D64,D70,UP7,UP8,UP9,UP10,UP13,UP14,UP17,UP20,UP22,UP24,UP25,UP30,UP33,UP34,UP48,UP56,UP57,UP62,UP68,UP69,UP77,UP78,UP82
87.89,0.080298258,0.051902816,0.076308258,0.072419478,0.052233677,0.088017142,0.075204998,0.063285685,0.073541329,0.072766324,0.088597425,0.064815183,0.068039438,0.083890526,0.061133537,0.075472825,0.070004087,0.085074442,0.066870122,0.062482434,0.072732371,0.066703437,0.073405234,0.029521726,0.05331826,0.048273403,0.077244639,0.085555215,0.074982835,0.069971446,0.08942279,0.029377023,0.029879458,0.080079213,0.085978241,0.056052587,0.080745716,0.061615726,0.054547246,0.032227018,0.044156846,0.051317062
103.72,0.068368903,0.03830329,0.062352008,0.058527545,0.041672201,0.081026738,0.065193218,0.052452766,0.06510096,0.064783866,0.076796579,0.054758269,0.066652528,0.076921845,0.054850511,0.070312082,0.062164507,0.074542988,0.052567219,0.05181054,0.063324622,0.052353873,0.062080659,0.024678364,0.04413452,0.039337158,0.069370041,0.078933319,0.061764531,0.054518398,0.065491704,0.025083877,0.024915371,0.059813318,0.0777887,0.046946676,0.074404932,0.048670563,0.04443379,0.023382288,0.034430975,0.037103106
122.39,0.05691293,0.028424669,0.05076493,0.048471347,0.032149354,0.064693145,0.053859217,0.041157278,0.056169681,0.055200244,0.062042122,0.043767786,0.064390628,0.060095743,0.049421459,0.062492506,0.053900004,0.060999881,0.033867333,0.040333011,0.050730528,0.03730685,0.047257548,0.021955106,0.034615631,0.033102607,0.059758712,0.070151459,0.0497165,0.041326674,0.049172048,0.022820141,0.019792139,0.040989158,0.062924188,0.03786317,0.066693741,0.037868407,0.035221314,0.01659936,0.026613949,0.025270724
144.43,0.041850399,0.018594948,0.036419875,0.034695472,0.02318357,0.051317324,0.040720413,0.030865167,0.041574163,0.0430206,0.045717959,0.032398055,0.058907966,0.044882777,0.041627488,0.051971374,0.043916803,0.044094293,0.020590719,0.030352451,0.039541617,0.026202526,0.034855462,0.018939576,0.027958675,0.026404482,0.047341519,0.053483095,0.03555371,0.028021204,0.030924552,0.020490364,0.016379967,0.026676278,0.04816511,0.029180433,0.054133336,0.027060913,0.026022841,0.010788875,0.019215362,0.015815501
170.44,0.030246575,0.012794354,0.026243789,0.026178495,0.015479934,0.033122272,0.028162226,0.020735416,0.028073,0.032159534,0.031301545,0.022054745,0.050654819,0.026758469,0.033440131,0.039106112,0.034730133,0.028227768,0.00907972,0.020557018,0.026167931,0.01574993,0.02174272,0.016122883,0.018681384,0.021626472,0.034572713,0.03717766,0.02362403,0.017863012,0.020384462,0.01925477,0.009816889,0.016106209,0.033716518,0.020683083,0.040916857,0.019051904,0.018382276,0.006155538,0.013048302,0.010074726
201.13,0.019536571,0.008040963,0.01706284,0.017830499,0.009079068,0.018943206,0.016886001,0.012212844,0.015750088,0.021892485,0.019386639,0.013495065,0.03896857,0.013094171,0.024851027,0.025489108,0.025629038,0.014786034,0.003005083,0.012533578,0.015134789,0.00830765,0.011724033,0.013310372,0.011574273,0.017352996,0.021965791,0.02170435,0.01344957,0.009762103,0.012320875,0.018020792,0.005049047,0.008964938,0.021553689,0.013474217,0.027518046,0.012065427,0.011695624,0.002779788,0.007653266,0.006179426
237.35,0.01201712,0.004880179,0.010419368,0.011225031,0.004949574,0.010255041,0.009766957,0.006724554,0.008075915,0.014045069,0.01162758,0.007938429,0.028723196,0.005369256,0.018997717,0.015272792,0.019948872,0.006659339,0.000814923,0.007226971,0.008387566,0.004125912,0.005878358,0.011514026,0.007161678,0.014664298,0.012987796,0.011653881,0.007063705,0.005032288,0.007279866,0.01775357,0.002351639,0.004920522,0.013201138,0.008819327,0.017721311,0.007310885,0.006996762,0.001068112,0.004193594,0.003963108
280.09,0.007419285,0.002992148,0.00638078,0.007141213,0.00246759,0.004927992,0.005238145,0.003370128,0.003758104,0.008898946,0.0069125,0.004591611,0.02046354,0.001824265,0.014723635,0.008336067,0.015973763,0.002621763,0.000154975,0.00390222,0.004103082,0.00179135,0.002568271,0.010104698,0.003919958,0.012798312,0.00716565,0.00578218,0.003384545,0.002383583,0.004486693,0.018463924,0.000835458,0.002634489,0.008135252,0.005591635,0.011109184,0.004326456,0.003999168,0.00032294,0.002053933,0.002526595
330.52,0.004445036,0.001742213,0.003700151,0.004216844,0.001130955,0.002254358,0.002676596,0.001573551,0.001580694,0.005378426,0.004044442,0.002585723,0.013352976,0.000493792,0.010772987,0.003877384,0.012766107,0.000868557,2.55989E-05,0.001989328,0.001860594,0.000732731,0.001029338,0.007923644,0.00199842,0.010388861,0.00370213,0.002658226,0.001503196,0.001053725,0.002723892,0.017037721,0.000227269,0.001413911,0.004697248,0.003414946,0.006636375,0.002433972,0.002148922,7.57542E-05,0.000865741,0.001515853
390.04,0.002446226,0.000924545,0.001977355,0.002203492,0.000485642,0.000940233,0.001193607,0.000675615,0.000569523,0.002964991,0.00222106,0.001351798,0.006933955,9.12405E-05,0.006207153,0.001346346,0.008514595,0.000233499,5.8076E-06,0.000960196,0.000708102,0.000284698,0.000382553,0.004577476,0.000813112,0.006293967,0.001678477,0.001080946,0.000598338,0.000430778,0.001506991,0.011541393,3.87129E-05,0.000749295,0.002118855,0.001802854,0.00342873,0.001278038,0.001084412,1.47548E-05,0.00032022,0.000701124
460.27,0.001304129,0.000497084,0.001044874,0.001078302,0.000228263,0.000413212,0.000494396,0.000305718,0.000185752,0.001524603,0.001206608,0.000689022,0.002713572,1.27356E-05,0.002677818,0.000387673,0.004734968,6.2937E-05,0,0.000489333,0.00024444,0.000133615,0.000164301,0.00186013,0.000281039,0.002696427,0.000726332,0.00042385,0.00024564,0.000188231,0.00082933,0.005460866,0,0.000449731,0.000694922,0.000876278,0.001554815,0.000693747,0.000565863,4.11385E-06,0.000117624,0.000248345
