Size,D1,D2,D3,D4,D7,D8,D9,D11,D16,D50,D51,D54,D55,D56,D57,D58,D65,D64,D70,UP7,UP8,UP9,UP10,UP13,UP14,UP17,UP20,UP22,UP24,UP25,UP30,UP33,UP34,UP48,UP56,UP57,UP62,UP68,UP69,UP77,UP78,UP82
0.37,0.006501554,0.003068663,0.001528888,0.001986186,0.010724704,0.004504457,0.002686271,0.00111339,0.002083955,0.020707169,0.005849275,0.002095193,0.006329903,0.002145807,0.002709626,0.005734962,0.0094497,0.003084424,0,0.00720139,0.004750808,0.004392055,0.001713777,0.003872022,0.004008709,0.002843391,0.004874739,0.001035749,0.001412731,0.002014203,0.000575876,0.01087093,0.007436527,0.00076735,0.00201816,0.027080436,0.005988785,0.005526038,0.015290835,0.000481113,0.004404362,0.000432573
0.44,0.007027734,0.003388091,0.001875587,0.002215081,0.011379733,0.004897988,0.002846068,0.00116757,0.002091708,0.022323816,0.006340729,0.00236586,0.007624133,0.002461467,0.0032142,0.006578625,0.010243656,0.003353882,0,0.007975915,0.004995556,0.004809154,0.001720153,0.004185386,0.004333139,0.003073503,0.005198686,0.001188117,0.001417987,0.002021696,0.000722282,0.01227529,0.008459427,0.000770205,0.002363275,0.030072777,0.00713815,0.006130442,0.016250527,0.000511309,0.004420749,0.000488456
0.52,0.00757986,0.004030788,0.002231375,0.002452829,0.012384381,0.005309883,0.003015817,0.001208928,0.002297061,0.024797254,0.00732859,0.002778562,0.00959364,0.003407077,0.003982295,0.007450255,0.011839604,0.004155357,0,0.008781787,0.005257421,0.00524462,0.001904773,0.004514218,0.004673573,0.003535975,0.005848995,0.001345538,0.001529398,0.002306518,0.001017747,0.013730068,0.010018566,0.000969175,0.003398601,0.034930509,0.008320296,0.00675903,0.017873481,0.000600501,0.00497375,0.000546344
0.61,0.008387772,0.004990666,0.002762751,0.003140462,0.013392909,0.006486319,0.003185567,0.001283731,0.002695956,0.028063966,0.008561579,0.003593829,0.012224719,0.004362242,0.005258059,0.009993145,0.014215748,0.005225303,0,0.00959159,0.005748798,0.005681866,0.002090376,0.005146744,0.005641876,0.004224116,0.006813071,0.001654387,0.001641124,0.002593307,0.001316361,0.016574742,0.012598188,0.001169971,0.004444623,0.042167602,0.010652862,0.007686387,0.020418552,0.000719163,0.005266874,0.000604577
0.72,0.00972179,0.00659306,0.003302211,0.004064137,0.015047956,0.007296808,0.003511755,0.001394134,0.003101229,0.032170649,0.010293156,0.004555141,0.016837899,0.006586119,0.007056559,0.013411294,0.017015695,0.006837294,0,0.011178644,0.006480744,0.006536014,0.00245471,0.006094567,0.006309715,0.004923045,0.008104444,0.00211935,0.001858331,0.003022405,0.001913849,0.020853842,0.01572386,0.001472023,0.006538454,0.051875061,0.013786054,0.008926875,0.023005965,0.000868635,0.006096496,0.00071917
0.85,0.01103339,0.008501786,0.004009196,0.004755472,0.016978855,0.008473842,0.004134655,0.001568759,0.003693567,0.036200319,0.012244168,0.005509158,0.022083699,0.009436492,0.009099473,0.017654206,0.020168752,0.008703682,0,0.012485638,0.007428397,0.007784385,0.002813653,0.007029422,0.007277573,0.005835304,0.009691469,0.002732909,0.002174447,0.003444679,0.002657752,0.025098389,0.019331237,0.001771634,0.008628599,0.062078842,0.017283373,0.010445394,0.026765609,0.001045436,0.006912006,0.00086
1.01,0.01331067,0.011308488,0.004695143,0.005647678,0.021329432,0.010374747,0.005041333,0.001973252,0.004654354,0.043179023,0.014609816,0.006434251,0.02527048,0.012865561,0.011094868,0.021805111,0.023989599,0.01052459,0,0.014997633,0.009263204,0.009400577,0.003508618,0.008537002,0.008522714,0.006716873,0.012163227,0.003483663,0.002789003,0.0043986,0.003240562,0.030602138,0.022329781,0.001963754,0.010673759,0.075495344,0.020690243,0.012802094,0.032532657,0.001303657,0.008751863,0.001079338
1.19,0.019112023,0.017512142,0.006405255,0.008096195,0.031850719,0.014153509,0.007299974,0.002912743,0.006564109,0.059398131,0.018597651,0.008273655,0.030317678,0.018118483,0.014559498,0.026716746,0.031971147,0.013620639,0,0.020750734,0.013371427,0.013020437,0.005064694,0.012141052,0.011941169,0.009138573,0.016455425,0.004975899,0.003907668,0.006431484,0.004252504,0.04223552,0.029807994,0.002541444,0.01371085,0.103927923,0.026319041,0.018079704,0.046135937,0.001874618,0.0124089,0.001597974
1.4,0.029195805,0.031466564,0.00983074,0.012995215,0.05101994,0.021341621,0.011363651,0.004521529,0.009809438,0.089543443,0.025892085,0.01223124,0.040486974,0.027698784,0.021257602,0.036598509,0.047585953,0.019571869,0,0.031009979,0.020671367,0.020673929,0.007829692,0.019353217,0.019097215,0.014433942,0.024745705,0.007661338,0.005634737,0.010088393,0.006574093,0.065531253,0.045300204,0.003797937,0.020148069,0.159112743,0.037241224,0.027166046,0.070619952,0.002902004,0.01893847,0.002525261
1.65,0.037316891,0.046413089,0.012504186,0.017801916,0.06797357,0.027630156,0.014897496,0.005948396,0.012416761,0.117544074,0.03137714,0.015712704,0.04723107,0.035855021,0.025831521,0.047087616,0.061362674,0.025139921,0,0.039561686,0.027373435,0.027376818,0.010368229,0.027029434,0.026428976,0.019407763,0.031027916,0.010145291,0.007020709,0.013675173,0.008125174,0.086321036,0.056988038,0.004739153,0.025776052,0.207988967,0.044912358,0.033725432,0.090997019,0.003795329,0.02377251,0.003244044
1.95,0.046645843,0.063705325,0.015503508,0.024124573,0.087275408,0.033504781,0.01900806,0.007516303,0.014819924,0.151523391,0.036605192,0.019568,0.052055433,0.044884975,0.02989222,0.056694002,0.075437545,0.031191326,0,0.047567175,0.034259511,0.034437267,0.013062405,0.037040113,0.035873652,0.024348488,0.037277531,0.012613364,0.008298545,0.017641642,0.009668869,0.10902404,0.069111424,0.005771808,0.031709306,0.256564384,0.052553689,0.040252699,0.111254766,0.004654765,0.028841166,0.003850209
2.3,0.058977816,0.088391026,0.020118317,0.034552432,0.114710523,0.044078177,0.026211575,0.010040264,0.020344922,0.198588467,0.044381369,0.025759481,0.065435051,0.059685764,0.037578311,0.078114662,0.097117034,0.042307081,0.0013442,0.059814443,0.044502172,0.0464846,0.018576084,0.051715128,0.048279537,0.031391053,0.047701576,0.017820259,0.011039148,0.024662648,0.0127088,0.139108398,0.083094527,0.006931289,0.044223299,0.316894644,0.066867652,0.048747611,0.138118059,0.005851161,0.036143116,0.004721349
2.72,0.070020494,0.108636531,0.023783951,0.043698394,0.135751454,0.048800844,0.030595335,0.011500086,0.021409026,0.241596777,0.050306453,0.031822455,0.070898568,0.068669421,0.040892916,0.086028937,0.112268576,0.049867468,0.024778969,0.067795962,0.049999272,0.051908769,0.021080545,0.065232185,0.061059037,0.036966038,0.05271092,0.01908837,0.011807048,0.028737477,0.014390242,0.165790371,0.095688463,0.007673935,0.053147548,0.373383924,0.077484125,0.054681572,0.160412368,0.006679334,0.040418635,0.005326346
3.2,0.082996683,0.132006597,0.028958132,0.055986918,0.165920572,0.060600418,0.039357076,0.014363755,0.027545597,0.296078629,0.059356928,0.040311731,0.087591956,0.084223179,0.048906989,0.11337049,0.136069855,0.063661699,0.109007126,0.081673415,0.060115023,0.06566092,0.027667394,0.082730055,0.074828299,0.045180301,0.064767345,0.02507446,0.015076737,0.037028264,0.01774757,0.200300731,0.109368096,0.00875256,0.073189971,0.4315856,0.096083341,0.062994499,0.186398104,0.007775662,0.048061191,0.006153962
3.78,0.096635256,0.153086469,0.033250512,0.066012224,0.195309006,0.069328159,0.045838522,0.016797023,0.030806426,0.355656168,0.068106888,0.050342408,0.101023969,0.095386038,0.055385465,0.131577912,0.157834836,0.07482063,0.191796994,0.097210576,0.068351142,0.075346503,0.032684217,0.10135037,0.091309213,0.054886306,0.073396192,0.027624847,0.01701659,0.042592172,0.019498876,0.238014125,0.128887212,0.010013115,0.092171491,0.502005146,0.114590884,0.0718168,0.216381809,0.008891463,0.054611509,0.006974356
4.46,0.115365682,0.180521744,0.040042005,0.078917385,0.237979298,0.084320447,0.056223386,0.020907471,0.037594889,0.434171146,0.081310827,0.063975422,0.12369872,0.11178099,0.065755173,0.161754118,0.188473803,0.091656423,0.141209503,0.12256918,0.082950093,0.093310272,0.041431625,0.126011787,0.111201815,0.069181484,0.088387534,0.033386523,0.021041163,0.05194098,0.023046729,0.290872358,0.155812,0.012077641,0.123330819,0.593745463,0.140258574,0.085841013,0.258222592,0.010519414,0.065244082,0.008251822
5.27,0.137038615,0.207885387,0.047922192,0.090148445,0.285039562,0.100578801,0.067450541,0.025858908,0.045973363,0.510250054,0.096994177,0.078648491,0.152965666,0.126149727,0.077210839,0.193013518,0.221669689,0.108114881,0.092538115,0.156173778,0.099731997,0.113847402,0.051118162,0.150880154,0.131575132,0.085586194,0.105663547,0.039945422,0.026119925,0.061640665,0.027352849,0.348987406,0.185974218,0.01522665,0.156444599,0.698516047,0.169171232,0.10145625,0.306789971,0.012533484,0.078063841,0.009677051
6.21,0.159398804,0.229196194,0.056295148,0.09616921,0.329786268,0.117926935,0.078493921,0.031290178,0.054910049,0.561935162,0.11428771,0.09024094,0.186672247,0.135446921,0.087871889,0.219192889,0.250522535,0.120865083,0.111073129,0.197298838,0.117842474,0.137171671,0.060266153,0.167524417,0.148438207,0.099081148,0.123812982,0.046484499,0.031701837,0.070762885,0.032227582,0.398671658,0.216041912,0.020218955,0.179299558,0.804047806,0.193834292,0.11760434,0.357624971,0.014799197,0.092420229,0.011041689
