size_class,all_traps,open_traps,closed_traps,SSC_integration,SSC_ratingurves
Clay,3.411419644,1.526087207,1.885332437,35154.01503,32022.27881
Silt,44.92508089,20.39584412,24.52923677,1278212.141,1669248.054
Fine Sand,22.65209947,11.04736868,11.60473079,1203191.912,1367288.225
Total,70.9886,32.9693,38.0193,2516558.068,3068558.558
Silt + Clay,48.33650053,21.92193132,26.41456921,1313366.156,1701270.333
