Date_Time,TurbClean
7/5/2023 20:00,4.32
7/5/2023 20:15,4.16
7/5/2023 20:30,4.14
7/5/2023 20:45,4.18
7/5/2023 21:00,4.27
7/5/2023 21:15,4.29
7/5/2023 21:30,4.38
7/5/2023 21:45,4.39
7/5/2023 22:00,4.36
7/5/2023 22:15,4.34
7/5/2023 22:30,4.33
7/5/2023 22:45,4.32
7/5/2023 23:00,4.37
7/5/2023 23:15,4.27
7/5/2023 23:30,4.26
7/5/2023 23:45,4.27
7/6/2023 0:00,4.23
7/6/2023 0:15,4.22
7/6/2023 0:30,4.23
7/6/2023 0:45,4.27
7/6/2023 1:00,4.18
7/6/2023 1:15,4.13
7/6/2023 1:30,4.13
7/6/2023 1:45,4.1
7/6/2023 2:00,4.09
7/6/2023 2:15,4
7/6/2023 2:30,3.96
7/6/2023 2:45,3.97
7/6/2023 3:00,3.91
7/6/2023 3:15,3.89
7/6/2023 3:30,3.86
7/6/2023 3:45,3.79
7/6/2023 4:00,3.76
7/6/2023 4:15,3.81
7/6/2023 4:30,3.75
7/6/2023 4:45,3.73
7/6/2023 5:00,3.71
7/6/2023 5:15,3.64
7/6/2023 5:30,3.71
7/6/2023 5:45,3.72
7/6/2023 6:00,3.68
7/6/2023 6:15,3.77
7/6/2023 6:30,3.73
7/6/2023 6:45,3.73
7/6/2023 7:00,3.7
7/6/2023 7:15,3.66
7/6/2023 7:30,3.66
7/6/2023 7:45,3.61
7/6/2023 8:00,3.63
7/6/2023 8:15,3.58
7/6/2023 8:30,3.58
7/6/2023 8:45,3.54
7/6/2023 9:00,3.59
7/6/2023 9:15,3.5
7/6/2023 9:30,3.52
7/6/2023 9:45,3.59
7/6/2023 10:00,3.59
7/6/2023 10:15,3.64
7/6/2023 10:30,3.66
7/6/2023 10:45,3.77
7/6/2023 11:00,3.85
7/6/2023 11:15,3.86
7/6/2023 11:30,3.92
7/6/2023 11:45,4.01
7/6/2023 12:00,3.98
7/6/2023 12:15,3.98
7/6/2023 12:30,4.05
7/6/2023 12:45,4.08
7/6/2023 13:00,4.14
7/6/2023 13:15,4.2
7/6/2023 13:30,6.49
7/6/2023 13:45,5.44
7/6/2023 14:00,4.71
7/6/2023 14:15,5.94
7/6/2023 14:30,4.82
7/6/2023 14:45,4.51
7/6/2023 15:00,6.09
7/6/2023 15:15,4.88
7/6/2023 15:30,4.7
7/6/2023 15:45,4.64
7/6/2023 16:00,4.44
7/6/2023 16:15,4.48
7/6/2023 16:30,4.35
7/6/2023 16:45,4.31
7/6/2023 17:00,4.3
7/6/2023 17:15,4.36
7/6/2023 17:30,4.67
7/6/2023 17:45,4.9
7/6/2023 18:00,4.62
7/6/2023 18:15,4.5
7/6/2023 18:30,4.49
7/6/2023 18:45,4.48
7/6/2023 19:00,5.25
7/6/2023 19:15,4.6
7/6/2023 19:30,4.42
7/6/2023 19:45,4.4
7/6/2023 20:00,4.53
7/6/2023 20:15,4.56
7/6/2023 20:30,4.46
7/6/2023 20:45,4.33
7/6/2023 21:00,4.52
7/6/2023 21:15,4.51
7/6/2023 21:30,4.51
7/6/2023 21:45,4.63
7/6/2023 22:00,4.85
7/6/2023 22:15,4.56
7/6/2023 22:30,4.52
7/6/2023 22:45,4.46
7/6/2023 23:00,4.49
7/6/2023 23:15,4.48
7/6/2023 23:30,4.46
7/6/2023 23:45,4.42
7/7/2023 0:00,4.35
7/7/2023 0:15,4.29
7/7/2023 0:30,4.25
7/7/2023 0:45,4.29
7/7/2023 1:00,4.26
7/7/2023 1:15,4.26
7/7/2023 1:30,4.37
7/7/2023 1:45,4.4
7/7/2023 2:00,4.31
7/7/2023 2:15,4.18
7/7/2023 2:30,4.12
7/7/2023 2:45,4.03
7/7/2023 3:00,4
7/7/2023 3:15,3.97
7/7/2023 3:30,3.92
7/7/2023 3:45,3.9
7/7/2023 4:00,3.85
7/7/2023 4:15,3.88
7/7/2023 4:30,3.92
7/7/2023 4:45,4
7/7/2023 5:00,3.96
7/7/2023 5:15,3.81
7/7/2023 5:30,3.81
7/7/2023 5:45,3.86
7/7/2023 6:00,3.89
7/7/2023 6:15,4.13
7/7/2023 6:30,4.25
7/7/2023 6:45,4.03
7/7/2023 7:00,4.16
7/7/2023 7:15,4.21
7/7/2023 7:30,4.13
7/7/2023 7:45,4.19
7/7/2023 8:00,4.06
7/7/2023 8:15,4.02
7/7/2023 8:30,3.96
7/7/2023 8:45,3.91
7/7/2023 9:00,3.95
7/7/2023 9:15,3.88
7/7/2023 9:30,3.87
7/7/2023 9:45,3.76
7/7/2023 10:00,3.89
7/7/2023 10:15,3.86
7/7/2023 10:30,3.91
7/7/2023 10:45,3.96
7/7/2023 11:00,3.97
7/7/2023 11:15,3.96
7/7/2023 11:30,4.17
7/7/2023 11:45,4.18
7/7/2023 12:00,4.11
7/7/2023 12:15,4.11
7/7/2023 12:30,4.19
7/7/2023 12:45,4.18
7/7/2023 13:00,4.2
7/7/2023 13:15,4.32
7/7/2023 13:30,4.41
7/7/2023 13:45,4.74
7/7/2023 14:00,4.47
7/7/2023 14:15,4.47
7/7/2023 14:30,4.45
7/7/2023 14:45,4.76
7/7/2023 15:00,4.81
7/7/2023 15:15,4.62
7/7/2023 15:30,4.52
7/7/2023 15:45,4.44
7/7/2023 16:00,5.96
7/7/2023 16:15,5.53
7/7/2023 16:30,5
7/7/2023 16:45,4.89
7/7/2023 17:00,4.74
7/7/2023 17:15,4.91
7/7/2023 17:30,4.79
7/7/2023 17:45,4.63
7/7/2023 18:00,4.5
7/7/2023 18:15,4.46
7/7/2023 18:30,4.46
7/7/2023 18:45,4.46
7/7/2023 19:00,4.35
7/7/2023 19:15,4.33
7/7/2023 19:30,4.3
7/7/2023 19:45,4.25
7/7/2023 20:00,4.22
7/7/2023 20:15,4.22
7/7/2023 20:30,4.26
7/7/2023 20:45,4.48
7/7/2023 21:00,4.67
7/7/2023 21:15,4.57
7/7/2023 21:30,4.53
7/7/2023 21:45,4.49
7/7/2023 22:00,4.48
7/7/2023 22:15,4.38
7/7/2023 22:30,4.43
7/7/2023 22:45,4.43
7/7/2023 23:00,4.44
7/7/2023 23:15,4.38
7/7/2023 23:30,4.35
7/7/2023 23:45,4.35
7/8/2023 0:00,4.23
7/8/2023 0:15,4.25
7/8/2023 0:30,4.22
7/8/2023 0:45,4.27
7/8/2023 1:00,4.14
7/8/2023 1:15,4.19
7/8/2023 1:30,4.07
7/8/2023 1:45,4.13
7/8/2023 2:00,4.06
7/8/2023 2:15,4.05
7/8/2023 2:30,4.03
7/8/2023 2:45,3.91
7/8/2023 3:00,3.91
7/8/2023 3:15,3.87
7/8/2023 3:30,3.79
7/8/2023 3:45,3.81
7/8/2023 4:00,3.78
7/8/2023 4:15,3.74
7/8/2023 4:30,3.8
7/8/2023 4:45,3.75
7/8/2023 5:00,3.68
7/8/2023 5:15,3.64
7/8/2023 5:30,3.63
7/8/2023 5:45,3.99
7/8/2023 6:00,3.79
7/8/2023 6:15,3.77
7/8/2023 6:30,4.06
7/8/2023 6:45,3.95
7/8/2023 7:00,3.83
7/8/2023 7:15,3.87
7/8/2023 7:30,3.79
7/8/2023 7:45,3.76
7/8/2023 8:00,3.77
7/8/2023 8:15,3.72
7/8/2023 8:30,3.66
7/8/2023 8:45,3.6
7/8/2023 9:00,3.55
7/8/2023 9:15,3.62
7/8/2023 9:30,3.6
7/8/2023 9:45,3.61
7/8/2023 10:00,3.69
7/8/2023 10:15,3.74
7/8/2023 10:30,3.74
7/8/2023 10:45,3.76
7/8/2023 11:00,3.68
7/8/2023 11:15,4.14
7/8/2023 11:30,4.18
7/8/2023 11:45,4.16
7/8/2023 12:00,4
7/8/2023 12:15,3.97
7/8/2023 12:30,4.57
7/8/2023 12:45,4.13
7/8/2023 13:00,4.11
7/8/2023 13:15,4.17
7/8/2023 13:30,4.1
7/8/2023 13:45,4.08
7/8/2023 14:00,4.12
7/8/2023 14:15,4.16
7/8/2023 14:30,4.3
7/8/2023 14:45,4.25
7/8/2023 15:00,4.17
7/8/2023 15:15,4.26
7/8/2023 15:30,4.46
7/8/2023 15:45,4.18
7/8/2023 16:00,4.34
7/8/2023 16:15,4.31
7/8/2023 16:30,4.27
7/8/2023 16:45,4.31
7/8/2023 17:00,4.32
7/8/2023 17:15,4.38
7/8/2023 17:30,4.36
7/8/2023 17:45,4.33
7/8/2023 18:00,4.29
7/8/2023 18:15,4.25
7/8/2023 18:30,4.2
7/8/2023 18:45,4.21
7/8/2023 19:00,4.33
7/8/2023 19:15,4.23
7/8/2023 19:30,4.18
7/8/2023 19:45,4.14
7/8/2023 20:00,4.24
7/8/2023 20:15,5.1
7/8/2023 20:30,4.8
7/8/2023 20:45,4.58
7/8/2023 21:00,4.66
7/8/2023 21:15,4.82
7/8/2023 21:30,5.25
7/8/2023 21:45,4.82
7/8/2023 22:00,4.71
7/8/2023 22:15,4.84
7/8/2023 22:30,5.28
7/8/2023 22:45,5.25
7/8/2023 23:00,5.07
7/8/2023 23:15,5.02
7/8/2023 23:30,4.79
7/8/2023 23:45,4.65
7/9/2023 0:00,4.74
7/9/2023 0:15,4.79
7/9/2023 0:30,4.8
7/9/2023 0:45,4.61
7/9/2023 1:00,4.73
7/9/2023 1:15,4.58
7/9/2023 1:30,4.57
7/9/2023 1:45,4.49
7/9/2023 2:00,4.44
7/9/2023 2:15,4.46
7/9/2023 2:30,4.49
7/9/2023 2:45,4.68
7/9/2023 3:00,5.18
7/9/2023 3:15,4.83
7/9/2023 3:30,4.97
7/9/2023 3:45,4.66
7/9/2023 4:00,4.98
7/9/2023 4:15,4.92
7/9/2023 4:30,5.08
7/9/2023 4:45,5.43
7/9/2023 5:00,6.08
7/9/2023 5:15,5.88
7/9/2023 5:30,5.33
7/9/2023 5:45,5.91
7/9/2023 6:00,4.59
7/9/2023 6:15,3.94
7/9/2023 6:30,3.84
7/9/2023 6:45,3.85
7/9/2023 7:00,4.27
7/9/2023 7:15,4.65
7/9/2023 7:30,4.5
7/9/2023 7:45,4.81
7/9/2023 8:00,4.51
7/9/2023 8:15,4.6
7/9/2023 8:30,4.59
7/9/2023 8:45,4.72
7/9/2023 9:00,4.48
7/9/2023 9:00,3.523985
7/9/2023 9:15,3.721339
7/9/2023 9:30,3.6127943
7/9/2023 9:45,3.5733235
7/9/2023 10:00,3.7312067
7/9/2023 10:15,3.7312067
