Date_Time,Turbidity (NTU),SSC (mg/L),Sample SSC
4/19/2023 1:59,13.39548,12.45700316,
4/19/2023 2:14,12.1789,11.2197413,
4/19/2023 2:29,10.56592,9.57934064,18
4/19/2023 2:44,12.96441,12.01860497,
4/19/2023 2:59,11.75264,10.78623488,
4/19/2023 3:14,11.77776,10.81178192,
4/19/2023 3:29,13.43927,12.50153759,
4/19/2023 3:44,13.58363,12.64835171,
4/19/2023 3:59,12.67163,11.72084771,
4/19/2023 4:14,13.60912,12.67427504,
4/19/2023 4:29,14.18903,13.26404351,
4/19/2023 4:44,11.60246,10.63350182,
4/19/2023 4:59,11.45348,10.48198916,
4/19/2023 5:14,12.5725,11.6200325,
4/19/2023 5:29,13.49538,12.55860146,
4/19/2023 5:44,11.57891,10.60955147,
4/19/2023 5:59,12.61011,11.65828187,
4/19/2023 6:14,12.74916,11.79969572,
4/19/2023 6:29,15.44199,14.53830383,
4/19/2023 6:44,12.39657,11.44111169,
4/19/2023 6:59,11.56346,10.59383882,
4/19/2023 7:14,10.41706,9.42795002,
4/19/2023 7:29,10.87595,9.89464115,6.5
4/19/2023 7:44,12.94453,11.99838701,
4/19/2023 7:59,11.762037,10.79579163,
4/19/2023 8:14,12.91354,11.96687018,
4/19/2023 8:29,10.35094,9.36070598,
4/19/2023 8:44,12.86456,11.91705752,
4/19/2023 8:59,11.97594,11.01333098,
4/19/2023 9:14,12.07748,11.11659716,
4/19/2023 9:29,12.71194,11.76184298,
4/19/2023 9:44,10.66244,9.67750148,
4/19/2023 9:59,10.9945,10.0152065,
4/19/2023 10:14,10.671084,9.686292428,
4/19/2023 10:29,12.13556,11.17566452,
4/19/2023 10:44,11.54278,10.57280726,
4/19/2023 10:59,13.68017,12.74653289,
4/19/2023 11:14,11.86428,10.89977276,
4/19/2023 11:29,11.49482,10.52403194,
4/19/2023 11:44,12.27397,11.31642749,
4/19/2023 11:59,11.72526,10.75838942,
4/19/2023 12:14,9.118114,8.106921938,
4/19/2023 12:29,10.6474,9.6622058,8
4/19/2023 12:44,13.24662,12.30561254,
4/19/2023 12:59,10.18775,9.19474175,
4/19/2023 13:14,11.3010746,10.32699287,
4/19/2023 13:29,10.39665,9.40719305,
4/19/2023 13:44,12.24921,11.29124657,
4/19/2023 13:59,10.94048492,9.960273164,
4/19/2023 14:14,13.51507,12.57862619,
4/19/2023 14:29,13.8273,12.8961641,
4/19/2023 14:44,14.64869,13.73151773,
4/19/2023 14:59,14.89854,13.98561518,
4/19/2023 15:14,14.44467,13.52402939,
4/19/2023 15:29,12.88833,11.94123161,
4/19/2023 15:44,15.86993,14.97351881,
4/19/2023 15:59,13.66296,12.72903032,
4/19/2023 16:14,19.69563,18.86425571,
4/19/2023 16:29,18.695269,17.84688857,
4/19/2023 16:44,15.6608,14.7608336,
4/19/2023 16:59,18.1011325,17.24265175,
4/19/2023 17:14,13.37035,12.43144595,
4/19/2023 17:29,16.48586,15.59991962,12
4/19/2023 17:44,14.9134,14.0007278,
4/19/2023 17:59,14.16259,13.23715403,
4/19/2023 18:14,14.98332,14.07183644,
4/19/2023 18:29,17.92048,17.05892816,
4/19/2023 18:44,20.44633,19.62771761,
4/19/2023 18:59,13.68757,12.75405869,
4/19/2023 19:14,14.36804,13.44609668,
4/19/2023 19:29,14.642107,13.72482282,
4/19/2023 19:44,12.10333,11.14288661,
4/19/2023 19:59,10.3300365,9.339447121,
4/19/2023 20:14,11.66101,10.69304717,
4/19/2023 20:29,12.35183,11.39561111,
4/19/2023 20:44,12.88895,11.94186215,
4/19/2023 20:59,11.03726,10.05869342,
4/19/2023 21:14,12.14594,11.18622098,
4/19/2023 21:29,17.58235,16.71504995,
