Sample ,Sample ,Date_Time,C_conc,S_conc,FS_conc
ST4-D2,110.0000003,7/29/2023 15:07,2.23847129,66.98288212,40.77864692
ST4-D3,53.333,7/29/2023 15:22,1.261990779,34.38988714,17.68112208
ST4-D4,80.00000024,7/29/2023 15:37,1.73032312,49.40961232,28.8600648
ST4-D5,43.33430055,7/29/2023 15:52,0.6478121,25.36945118,17.31703727
ST4-D6,92.22199982,7/29/2023 16:07,1.979579721,54.78841191,35.45400819
ST5-D1,76.15400015,8/13/2023 18:45,1.535948426,41.5568054,33.06124633
ST5-D2,41.19999988,8/13/2023 18:58,0.915809503,23.98199936,16.30219102
ST5-D3,39.60000008,8/13/2023 19:02,0.726627212,21.64358556,17.2297873
ST5-D4,27.60000003,8/13/2023 19:10,0.534480928,15.56184873,11.50367037
ST5-D5,20.83337099,8/13/2023 21:02,0.478438554,12.20871524,8.146217199
ST7-D1,37.60000057,9/14/2023 17:52,1.14917019,27.78966616,8.661164213
ST7-D2,31.53869708,9/14/2023 18:07,0.747435841,22.66023015,8.131031096
ST7-D3,28.07713222,9/14/2023 18:22,0.442506409,20.11916009,7.515465715
ST7-D5,23.59980959,9/14/2023 18:52,0.373693208,15.66682918,7.559287209
ST7-D6,21.17521668,9/14/2023 19:09,0.519265124,14.79455626,5.861395291
ST4-U1,99.9998979,7/29/2023 15:16,1.7025325,50.9278674,47.369498
ST4-U2,105.5558544,7/29/2023 15:31,2.612606528,63.64589049,39.29735743
ST4-U3,50.0025231,7/29/2023 15:46,1.7129574,34.0661211,14.2234446
ST4-U4,68.88899987,7/29/2023 16:01,1.697588502,38.77276846,28.41864291
ST4-U5,51.11255035,7/29/2023 16:16,1.594118408,31.58627973,17.93215221
ST4-U6,45.26299991,7/29/2023 16:31,1.078525362,27.82875998,16.35571458
ST4-U7,19.99976348,7/29/2023 16:46,0.3422341,9.60596956,10.05155982
ST4-U9,15.4555238,7/29/2023 17:16,0.36588096,8.333285695,6.756357145
ST4-U11,26.00000003,7/29/2023 17:46,0.787200076,16.63649432,8.576305634
ST4-U14,21.0000428,7/29/2023 18:31,0.248584245,8.718122826,12.03333573
ST5-U1,43.19985899,8/13/2023 18:45,0.556083187,16.28247234,26.36130347
ST5-U2,29.23134989,8/13/2023 19:00,0.613805516,16.92234484,11.69519954
ST5-U3,25.0003814,8/13/2023 19:15,0.531115225,13.69915258,10.7701136
ST5-U4,23.75164954,8/13/2023 19:30,0.45043115,12.84927013,10.45194826
ST5-U5,22.22200007,8/13/2023 19:45,0.401743361,11.22700297,10.59325373
ST5-U6,22.22200002,8/13/2023 20:00,0.325715788,11.74966484,10.1466194
ST5-U7,21.90499996,8/13/2023 20:15,0.265985558,8.659538618,12.97947578
ST5-U8,17.99999996,8/13/2023 20:30,0.18115083,6.578173098,11.24067604
ST5-U9,20.49895521,8/13/2023 20:45,0.417927189,11.0970862,8.983941816
ST5-U10,12.5580333,8/13/2023 21:00,0.228691552,7.109773737,5.219568015
ST5-U11,18.00054756,8/13/2023 21:15,0.387890388,10.00057462,7.61208255
ST5-U12,20.00062928,8/13/2023 21:30,0.40784704,10.4451314,9.14765084
ST6-U1,77.89499993,8/28/2023 12:20,1.143181568,37.68518652,39.06663184
ST6-U2,43.00000009,8/28/2023 12:35,0.586305817,20.06851147,22.3451828
ST6-U3,36,8/28/2023 12:50,0.631561932,19.97190904,15.39652903
ST6-U4,28.8362148,8/28/2023 13:05,0.509388189,14.83049266,13.49633395
ST6-U5,29.5451921,8/28/2023 13:20,0.481339133,15.63631633,13.42753665
ST6-U8,26.84115408,8/28/2023 14:05,0.502692118,14.12190566,12.2165563
ST6-U10,24.00051874,8/28/2023 14:35,0.435763128,13.75662686,9.808128744
ST7-U1,30.76835869,9/14/2023 17:45,0.618502992,19.98094858,10.16890712
ST7-U2,30.19991885,9/14/2023 18:00,0.734195785,22.02587273,7.439850337
ST7-U3,29.17968566,9/14/2023 18:15,0.76113725,22.81343444,5.605113975
ST7-U5,20.4175278,9/14/2023 18:45,0.420473659,14.74762963,5.249424508
ST7-U7,17.99943179,9/14/2023 19:15,0.357288552,13.28649622,4.35564702
