CS,FS,S,C,flux,total
-0.487,-0.355,-0.390,-0.407,0.205,-0.432
0.554,0.434,0.452,0.499,-0.317,0.509
-0.041,0.850,0.867,0.925,-0.110,0.247
-0.249,-0.425,-0.475,-0.530,0.060,-0.336
-0.075,0.060,-0.024,-0.054,-0.035,-0.033
-0.068,0.240,0.443,0.524,-0.167,0.045
0.032,0.120,-0.294,-0.343,-0.033,0.045
