CS,FS,S,C,flux,total
0.023,0.212,0.181,0.181,-0.101,0.106369913
1.707,0.477,0.571,0.457,-0.101,0.946892257
0.668,0.203,0.372,0.255,-0.32,0.46884705
-0.328,-0.111,-0.218,-0.214,0.117,-0.256242699
-0.551,0.18,0.619,-0.125,0.117,-0.323457357
-0.677,0.338,0.14,0.192,-0.046,-0.413743865
-0.257,0.416,-0.043,0.069,-0.113,0.025679735
-0.453,-0.007,-0.036,0.305,-0.113,-0.222714232
-0.221,0.371,0.995,0.739,-0.05,0.01378551
