CS,FS,S,C,flux,total
-0.423443558,-0.1448,-0.1709,-0.1952,0.229,-0.4145
-0.502013619,-0.6275,-0.6615,-0.668,0.229,-0.5092
0.503070032,0.6848,0.3784,0.4985,-0.303,0.5097
0.185680646,0.9648,0.8341,0.9246,-0.093,0.2199
-0.408418867,-0.5382,-0.5288,-0.5465,0.051,-0.4189
-0.099314565,-0.2876,-0.4675,-0.5063,0.051,-0.1240
0.003373105,-0.1673,-0.1916,-0.2193,-0.039,-0.0086
-0.116119968,0.5513,0.2434,0.382,-0.039,-0.0843
0.129711852,0.8179,0.8841,1.0775,-0.063,0.1547
-0.164542545,0.1999,0.2269,0.1678,-0.063,-0.1276
-0.100145871,-0.2399,-0.1682,-0.2133,-0.033,-0.1080
