,Weighted HF (Summer)
T1,-3.053524209533814e-06
T2,-3.7596162816837996e-06
T3,-3.4951196541662215e-06
T5,1.0635005665252642e-06
T6,-6.449218891762265e-07
T7,-1.4109594415249545e-06
T8,-6.098091382711773e-07
