,Weighted HF (Spring)
T1,2.425881969217306e-06
T2,-3.6546684311142646e-06
T3,-1.2033463885698125e-06
T5,6.816739078293048e-07
T6,-4.1168857171430935e-07
T7,-1.8625313707969371e-06
T8,-3.940816343744174e-07
