,Weighted HF (Spring)
T1,2.426038483873659e-06
T2,-3.6547189125561588e-06
T3,-1.2033166466467651e-06
T5,6.815480978104992e-07
T6,-4.1176983728040214e-07
T7,-1.8633729023391903e-06
T8,-3.941504771102781e-07
