,Weighted HF (Summer)
T1,-2.988253692193552e-06
T2,-3.7219532960808926e-06
T3,-3.5403256913490753e-06
T5,1.142710609592714e-06
T6,-5.884773687640923e-07
T7,-1.3789944647068641e-06
T8,-6.011259716898319e-07
