Date_Time,Sample ,Conc (mg/L),LabID,C_conc,S_conc,FS_conc,Q
4/17/2023 16:30,D1,23.16,205,0.195833331,11.64496825,11.31763457,0.171886328
4/17/2023 20:30,D2,15,206,0.200978662,10.32805358,4.472724577,0.178582536
4/18/2023 0:30,D3,8.95,222,0.06464884,4.814844997,4.069018482,0.173669434
4/18/2023 4:30,D4,9.5,207,0.087279746,5.265332186,4.14797608,0.169651709
4/18/2023 16:30,D7,23,225,0.339357606,15.44906491,7.213915201,0.184383366
4/18/2023 21:30,D8,15,226,0.143974113,6.791502156,8.064523731,0.184827229
4/19/2023 2:30,D9,10,227,0.076990648,5.247088477,4.675920875,0.176791779
4/19/2023 12:30,D11,3.5,229,0.030608736,2.118833478,1.350403167,0.173669434
4/21/2023 9:30,D16,6.25,234,0.06422806,3.379607472,2.805303844,0.176808529
4/30/2023 18:00,D50,42,323,0.625451235,21.63915601,19.73671446,0.186668981
4/30/2023 23:00,D51,17.42,324,0.177699381,7.972070679,9.269027148,0.186683052
5/1/2023 14:00,D54,6,327,0.083117592,3.555344237,2.361538177,0.182571206
5/1/2023 20:00,D55,22.14,343,0.270055629,9.711410041,12.16005784,0.198135555
5/2/2023 3:00,D56,10,344,0.167822028,5.109379023,4.721399559,0.20219677
5/2/2023 10:00,D57,6.43,345,0.133955921,3.394591763,2.900655634,0.193238189
5/2/2023 17:00,D58,18,346,0.24972447,8.689583834,9.057151168,0.228024806
5/3/2023 20:00,D65,20.67,350,0.323280073,10.11578797,10.22853309,0.277136428
5/4/2023 2:00,D64,11.88,351,0.131408285,5.948563506,5.795494624,0.264571636
5/4/2023 23:00,D70,7.14,356,0,4.63001567,2.512120479,0.247974932
4/18/2023 16:30,UP7,21.5,213,0.21110217,13.05783264,8.233135217,0.184383366
4/18/2023 21:30,UP8,11.05,214,0.139600668,5.939891898,4.973507454,0.184827229
4/19/2023 2:30,UP9,18,215,0.139357121,10.87023516,6.989651033,0.176791779
4/19/2023 7:30,UP10,6.5,216,0.05253108,3.643703804,2.803130384,0.172781708
4/19/2023 22:30,UP13,6,219,0.134943176,4.408844957,1.45916356,0.194050935
4/20/2023 3:30,UP14,8.89,220,0.134108311,5.672751003,3.080987756,0.191598931
4/20/2023 23:30,UP17,4.67,237,0.098480973,2.907070473,1.661261203,0.181738892
4/21/2023 19:30,UP20,17.86,240,0.162201208,8.843692374,8.854298962,0.165210028
4/22/2023 5:30,UP22,6.67,242,0.048955606,3.038947409,3.582742316,0.16105877
4/22/2023 15:30,UP24,5.33,244,0.03768468,2.925150796,2.369886581,0.159387539
4/22/2023 20:30,UP25,8,245,0.067638101,4.705368089,3.228127122,0.16105877
4/24/2023 2:00,UP30,8.67,250,0.04006507,4.413793084,4.213142227,0.174331509
4/24/2023 17:00,UP33,15,253,0.433117249,10.36758282,4.200406164,0.189956714
4/24/2023 22:00,UP34,7.14,269,0.297105247,5.497153514,1.351678726,0.189956714
4/28/2023 16:00,UP48,6.67,291,0.025734454,3.671453682,2.969722606,0.153542325
4/30/2023 13:00,UP56,12.67,309,0.129409748,5.949200047,6.588390228,0.169350687
4/30/2023 18:00,UP57,45,310,1.051294588,27.91107042,16.03710863,0.186668981
5/1/2023 20:00,UP62,20,328,0.244886075,8.891615347,10.86381032,0.198135555
5/3/2023 14:00,UP68,10.67,334,0.177500142,6.584596739,3.904633829,0.214353076
5/3/2023 20:00,UP69,24.38,335,0.471145299,15.72057148,8.184122728,0.277136428
5/4/2023 20:00,UP77,0.71,338,0.01875653,0.562908319,0.132221692,0.251141915
5/4/2023 23:00,UP78,5.71,339,0.124787147,4.066758692,1.526969181,0.247974932
5/5/2023 11:00,UP82,0.67,341,0.015947946,0.45760637,0.193471728,0.216775432
