,Total_grams
0.37,130.38684115525803
0.44,138.6446890891394
0.52,151.56844120518755
0.61,169.1018519019698
0.72,190.35673822199817
0.85,216.3358029084527
1.01,260.77424023348624
1.19,364.58105399342713
1.4,547.7872764185879
1.65,698.5802921155189
1.95,843.7987844914239
2.3,1025.5470933834358
2.72,1195.8202054412322
3.2,1403.0301649808246
3.78,1653.3517668091474
4.46,1987.4292346346633
5.27,2389.892004117568
6.21,2819.202170558791
7.33,3240.9951177394264
8.65,3735.2078962390992
10.21,4278.74683361582
12.05,4835.174059013821
14.22,5646.684494206203
16.78,6566.26996370727
19.81,7631.655614919056
23.37,8679.755763731378
27.58,9814.827105947932
32.55,10803.770953387619
38.41,11664.75043772273
45.32,12194.956220556678
53.48,12117.117798803116
63.11,11693.54126399305
74.48,10505.311034474395
87.89,9079.484282942234
103.72,7287.439856988169
122.39,5746.034473691374
144.43,4259.514003623782
170.44,2950.33208578312
201.13,1839.0069179717962
237.35,1154.7238008264987
280.09,773.2595476111588
330.52,513.9263717739684
390.04,297.43526945889835
460.27,155.25764414584364
