,Date_Time,P1,P2,P3,P4,P5,P6
0,2023-03-01 00:00:00,,-0.08936799999992218,0.03080099999988306,-0.05013999999982843,-0.11870900000030815,-0.05802099999982602
1,2023-03-01 00:15:00,-0.3166969999997491,-0.08936799999992218,0.03080199999976685,-0.051308999999946536,-0.12220800000022791,-0.059769999999844
2,2023-03-01 00:30:00,-0.3170479999998861,-0.0911180000002787,0.029051999999865075,-0.05188899999984642,-0.11928900000020803,-0.059769999999844
3,2023-03-01 00:45:00,-0.3198439999996481,-0.09111699999994016,0.02730299999984709,-0.05188999999973021,-0.11928900000020803,-0.059769999999844
4,2023-03-01 01:00:00,-0.31657799999993586,-0.09111699999994016,0.02730299999984709,-0.050719999999728316,-0.12045900000020993,-0.059769999999844
5,2023-03-01 01:15:00,-0.3141279999999824,-0.09461599999985992,0.02614399999993111,-0.053638999999748194,-0.1222090000001117,-0.06151899999986199
6,2023-03-01 01:30:00,-0.31237899999996444,-0.09111699999994016,0.03080199999976685,-0.05013999999982843,-0.11928900000020803,-0.059769999999844
7,2023-03-01 01:45:00,-0.31237899999996444,-0.09111699999994016,0.027892999999949097,-0.04838999999992666,-0.11928900000020803,-0.059769999999844
8,2023-03-01 02:00:00,-0.31342899999981455,-0.08936799999992218,0.029051999999865075,-0.05305899999984831,-0.12045900000020993,-0.06151899999986199
9,2023-03-01 02:15:00,-0.3137779999997292,-0.08936799999992218,0.029052999999748863,-0.05538799999976618,-0.11929000000009182,-0.06151999999974578
10,2023-03-01 02:30:00,-0.3190289999997731,-0.09111699999994016,0.029052999999748863,-0.05305899999984831,-0.11929000000009182,-0.06151999999974578
11,2023-03-01 02:45:00,-0.3275459999999839,-0.09111799999982395,0.029052000000319822,-0.054808000000321044,-0.12220799999977316,-0.06092900000021473
12,2023-03-01 03:00:00,-0.32521300000007614,-0.08936799999992218,0.029051999999865075,-0.05363900000020294,-0.12045899999975518,-0.0626790000001165
13,2023-03-01 03:15:00,-0.3275459999999839,-0.08936700000003839,0.030222000000321714,-0.0571380000001227,-0.11870999999973719,-0.0626790000001165
14,2023-03-01 03:30:00,-0.3259130000001278,-0.09111699999994016,0.02905300000020361,-0.05538800000022093,-0.12161900000000969,-0.0626790000001165
15,2023-03-01 03:45:00,-0.32649399999991147,-0.08936799999992218,0.027303000000301836,-0.05247899999994843,-0.1198789999998553,-0.06151999999974578
16,2023-03-01 04:00:00,-0.32509200000004057,-0.09052800000017669,0.030802000000221597,-0.0542289999998502,-0.1198789999998553,-0.06326899999976376
17,2023-03-01 04:15:00,-0.3235749999998916,-0.0876180000000204,0.03197099999988495,-0.0542289999998502,-0.1187089999998534,-0.06442900000001828
18,2023-03-01 04:30:00,-0.3225290000000314,-0.08993700000019089,0.030220999999983178,-0.055398999999852094,-0.1187089999998534,-0.060349999999743886
19,2023-03-01 04:45:00,-0.3210159999998723,-0.08643900000015492,0.029051999999865075,-0.055397999999968306,-0.11871000000019194,-0.05859999999984211
20,2023-03-01 05:00:00,-0.32276599999977407,-0.0881890000000567,0.03080099999988306,-0.05597799999986819,-0.1198789999998553,-0.060349999999743886
21,2023-03-01 05:15:00,-0.32066600000007384,-0.08993800000007468,0.030221999999866966,-0.055398999999852094,-0.1187089999998534,-0.060349999999743886
22,2023-03-01 05:30:00,-0.3234659999998257,-0.0881880000001729,0.030222000000321714,-0.05772700000034092,-0.12278799999967305,-0.06209900000021662
23,2023-03-01 05:45:00,-0.32171599999992395,-0.08643900000015492,0.028471999999965192,-0.05422900000030495,-0.12162799999987328,-0.060350000000198634
24,2023-03-01 06:00:00,-0.3171650000003865,-0.08643899999970017,0.029051999999865075,-0.058897000000342814,-0.1198789999998553,-0.060350000000198634
25,2023-03-01 06:15:00,-0.3170470000000023,-0.08818799999971816,0.028471999999965192,-0.05772800000022471,-0.1198789999998553,-0.0638490000001184
26,2023-03-01 06:30:00,-0.3187950000001365,-0.0881880000001729,0.028471999999965192,-0.0594770000002427,-0.1198789999998553,-0.06326900000021851
27,2023-03-01 06:45:00,-0.3200759999999718,-0.08643899999970017,0.030222000000321714,-0.0594770000002427,-0.11812999999983731,-0.060930000000098516
28,2023-03-01 07:00:00,-0.31657799999993586,-0.08643799999981638,0.030811999999968975,-0.05772700000034092,-0.12161900000000969,-0.06151900000031674
29,2023-03-01 07:15:00,-0.3141279999999824,-0.08993800000007468,0.030220999999983178,-0.05772800000022471,-0.12161900000000969,-0.06151900000031674
30,2023-03-01 07:30:00,-0.3158819999998741,-0.08818799999971816,0.030811000000085187,-0.0594770000002427,-0.12103899999965506,-0.05918000000019674
31,2023-03-01 07:45:00,-0.31576799999993455,-0.08993699999973614,0.030811999999968975,-0.057718000000022585,-0.12103899999965506,-0.06151900000031674
32,2023-03-01 08:00:00,-0.3182130000000143,-0.08643899999970017,0.0290620000000672,-0.06238600000006045,-0.12278799999967305,-0.06151900000031674
33,2023-03-01 08:15:00,-0.31657799999993586,-0.08818799999971816,0.0290620000000672,-0.05946700000004057,-0.11986899999965317,-0.061520000000200525
34,2023-03-01 08:30:00,-0.3176269999999022,-0.09110700000019278,0.030811999999968975,-0.06063700000004246,-0.12103800000022602,-0.06151999999974578
35,2023-03-01 08:45:00,-0.3169269999998505,-0.08993799999961993,0.030811999999968975,-0.05772800000022471,-0.11811999999963518,-0.06326800000033472
36,2023-03-01 09:00:00,-0.3158819999998741,-0.09168700000009267,0.03197099999988495,-0.05946700000004057,-0.12103900000010981,-0.06151899999986199
