Size ,D1,D2,D3,D4,D7,D8,D9,D11,D16,D50,D51,D54,D55,D56,D57,D58,D65,D64,D70,UP7,UP8,UP9,UP10,UP13,UP14,UP17,UP20,UP22,UP24,UP25,UP30,UP33,UP34,UP48,UP56,UP57,UP62,UP68,UP69,UP77,UP78,UP82
0.37,0.000244798,0.000195198,0.00015213,0.000185682,0.00044467,0.000264201,0.00024077,0.000295989,0.000302947,0.000424795,0.00029107,0.00031917,0.000222272,0.000195914,0.000347881,0.000275374,0.000363583,0.000235664,0,0.000310227,0.000390407,0.00023119,0.000244141,0.000581395,0.00042153,0.000521879,0.000238379,0.000135449,0.000243224,0.000236109,6.01E-05,0.000589971,0.001028101,0.000107109,0.000137426,0.000549708,0.000249454,0.000479556,0.000585534,0.000675407,0.000746269,0.000624756
0.44,0.000263629,0.000214718,0.000185936,0.000206313,0.00047008,0.000286218,0.000254147,0.000309242,0.000302947,0.000456262,0.000314356,0.000359066,0.000266726,0.000223901,0.000411132,0.000314713,0.00039267,0.000255302,0,0.000342319,0.000408998,0.000252207,0.000244141,0.000626118,0.000453956,0.000562023,0.000253278,0.000154799,0.000243224,0.000236109,7.51E-05,0.000663717,0.001165182,0.000107109,0.00016033,0.000608187,0.000296227,0.000530035,0.000619977,0.000715137,0.000746269,0.00070285
0.52,0.000282459,0.000253758,0.000219743,0.000226945,0.000508195,0.000308234,0.000267523,0.000318077,0.000330487,0.000503461,0.000360927,0.000418911,0.000333407,0.000307865,0.000506009,0.000354052,0.000450844,0.000314218,0,0.000374412,0.000427589,0.000273224,0.000268555,0.000670841,0.000486381,0.000642312,0.000283075,0.000174149,0.000260598,0.00026759,0.000105121,0.000737463,0.001370802,0.000133887,0.000229043,0.000701754,0.000343,0.000580515,0.000677382,0.000834327,0.000834065,0.000780945
0.61,0.000310705,0.000312317,0.000270453,0.000288838,0.000546309,0.000374284,0.000280899,0.000335748,0.000385569,0.000566394,0.000419141,0.0005386,0.000422316,0.000391828,0.000664137,0.000472069,0.000538104,0.000392773,0,0.000406504,0.00046477,0.000294241,0.000292969,0.000760286,0.000583658,0.000762746,0.000327771,0.000212848,0.000277971,0.000299071,0.000135155,0.000884956,0.001713502,0.000160664,0.000297755,0.000842105,0.000436545,0.000656234,0.000769231,0.000993246,0.000877963,0.000859039
0.72,0.000357782,0.000409916,0.000321163,0.000371364,0.000609834,0.000418318,0.000307651,0.000362255,0.00044065,0.00064506,0.00050064,0.000678237,0.000577906,0.000587741,0.000885515,0.000629426,0.000639907,0.000510605,0,0.000470689,0.000520543,0.000336276,0.000341797,0.000894454,0.000648508,0.000883179,0.000387366,0.000270898,0.000312717,0.000346293,0.000195225,0.001106195,0.002124743,0.00020083,0.000435181,0.00102924,0.000561272,0.000757193,0.000861079,0.001191895,0.001009658,0.001015228
0.85,0.000404858,0.000527035,0.000388776,0.000433258,0.000686063,0.000484368,0.000361156,0.000406432,0.000523272,0.000723726,0.000593783,0.000817874,0.000755723,0.000839631,0.00113852,0.000826121,0.000756254,0.000648075,0,0.000524176,0.000594906,0.000399327,0.000390625,0.001028623,0.000745785,0.001043758,0.000461859,0.000348297,0.000364837,0.000393515,0.000270311,0.001327434,0.002604524,0.000240996,0.000572607,0.00122807,0.00070159,0.000883392,0.000998852,0.001430274,0.001141352,0.001210465
1.01,0.000489596,0.000702713,0.000456389,0.000515783,0.000863931,0.000594452,0.000441413,0.000512458,0.000660975,0.000865324,0.000710211,0.00095751,0.000866859,0.001147495,0.001391524,0.001022817,0.000901687,0.000785546,0,0.000631151,0.000743633,0.000483396,0.000488281,0.001252236,0.000875486,0.001204336,0.000581049,0.000445046,0.000469076,0.000503699,0.00033038,0.001622419,0.003015764,0.000267773,0.000710032,0.001497076,0.000841908,0.00108531,0.001216992,0.001787843,0.001448639,0.001522843
1.19,0.000706148,0.00109311,0.000625423,0.000742727,0.001295896,0.000814619,0.000642055,0.000759852,0.000936381,0.001195721,0.000908138,0.001236784,0.001044677,0.001623286,0.001834282,0.001258851,0.001207097,0.00102121,0,0.000877193,0.001078267,0.000672551,0.000708008,0.001788909,0.001232166,0.001645925,0.000789631,0.000638545,0.000660181,0.000739808,0.000435501,0.002249263,0.004043866,0.000348106,0.00091617,0.002070175,0.001075772,0.001539626,0.001733639,0.002582439,0.002063213,0.00226474
1.4,0.001082761,0.001971501,0.000963489,0.001196616,0.002083598,0.001232937,0.00100321,0.001183955,0.001404572,0.001809314,0.001269065,0.001835228,0.001400311,0.002490904,0.002688172,0.001730921,0.001803374,0.001472899,0,0.001315789,0.001673173,0.001071879,0.001098633,0.002862254,0.001977951,0.002609394,0.001191895,0.000986842,0.000955525,0.001164804,0.000675777,0.00350295,0.006168609,0.000522158,0.001351351,0.003181287,0.001527908,0.00232206,0.002663605,0.004012714,0.003160667,0.003592347
1.65,0.001393466,0.002927972,0.001233942,0.001650505,0.002795071,0.001607221,0.001324238,0.001568298,0.00179014,0.002391441,0.001548492,0.002373828,0.00164481,0.003246572,0.003289058,0.002242329,0.002341478,0.001904949,0,0.001690201,0.002230898,0.001429172,0.001464844,0.004025045,0.002756161,0.003532718,0.001504768,0.001315789,0.001198749,0.0015898,0.000840967,0.004646018,0.007813571,0.000656045,0.001740724,0.004187135,0.001855316,0.002902574,0.003455798,0.005284068,0.003994732,0.004646622
1.95,0.001751248,0.004040601,0.001538201,0.002248814,0.003608182,0.001959489,0.001698769,0.001992401,0.002148169,0.003099434,0.001816277,0.002972272,0.001822627,0.004086202,0.003826692,0.002714398,0.002894124,0.002376277,0,0.002043218,0.002807213,0.001807482,0.001855469,0.005545617,0.003761349,0.004456042,0.00181764,0.001644737,0.0014246,0.002062018,0.001006157,0.005899705,0.009527073,0.00080332,0.002153,0.005192982,0.002182725,0.003483089,0.004247991,0.006515693,0.004872695,0.005544709
2.3,0.002212598,0.005602186,0.001994591,0.003218486,0.004738915,0.002575958,0.002340824,0.00265948,0.002946847,0.004059157,0.002200489,0.003909834,0.002289398,0.005429611,0.004807084,0.003737215,0.003723095,0.003220738,0.000181378,0.002567394,0.0036438,0.002437999,0.002636719,0.00773703,0.005058366,0.005740666,0.002324195,0.002321981,0.001893676,0.002880529,0.00132152,0.007522124,0.011446196,0.000963984,0.003000458,0.006409357,0.002775179,0.004215043,0.005269805,0.008184346,0.006101844,0.006794221
2.72,0.002636287,0.006910014,0.002366464,0.004085001,0.005628256,0.002862175,0.002742108,0.003057077,0.00311209,0.004955947,0.002503202,0.004847397,0.002489442,0.006269242,0.005249842,0.004130606,0.004319372,0.003809898,0.003355502,0.002920411,0.00410857,0.00273224,0.00300293,0.009794275,0.006420233,0.006784424,0.002577473,0.00249613,0.002032662,0.003368487,0.001501727,0.00899705,0.013228239,0.001071094,0.003618873,0.007578947,0.003227315,0.004745078,0.006142365,0.009376242,0.006848112,0.007692308
3.2,0.003116467,0.008374,0.002873563,0.005219724,0.006860628,0.003544694,0.003517924,0.003808093,0.00399339,0.006057269,0.002945628,0.006124077,0.003067348,0.007668626,0.00626186,0.005428796,0.005221059,0.004850746,0.014721886,0.003508772,0.004926566,0.003446826,0.003930664,0.012388193,0.007846952,0.008269771,0.003158522,0.003270124,0.002588603,0.004328664,0.001847124,0.010840708,0.015078821,0.001218369,0.004970224,0.008736842,0.003991269,0.005451792,0.007118255,0.010885975,0.008121159,0.008863725
3.78,0.003624894,0.009701347,0.003296146,0.006148133,0.00806759,0.004051079,0.004093098,0.004448666,0.004461581,0.007268722,0.003376412,0.007640136,0.003534119,0.008676182,0.007084124,0.006294256,0.006050029,0.005695208,0.025876663,0.004172015,0.005595836,0.00395124,0.004638672,0.015161002,0.009565499,0.01003613,0.003575685,0.003599071,0.002918694,0.004974028,0.002027331,0.012868732,0.017751885,0.001392422,0.006252863,0.010152047,0.004755223,0.006208985,0.008254879,0.012435439,0.009218613,0.010035143
4.46,0.004312212,0.011399571,0.003955375,0.007324118,0.009795452,0.004909731,0.005002675,0.005517759,0.005425503,0.008842039,0.004016766,0.009674845,0.004312069,0.010131542,0.008380772,0.007710464,0.007198953,0.006952082,0.018984281,0.005241763,0.006767057,0.004875998,0.005859375,0.018783542,0.011608301,0.012605379,0.004290822,0.004334365,0.003596247,0.006044388,0.002387746,0.015671091,0.02138451,0.001673584,0.008337151,0.011964912,0.005799813,0.007395255,0.009816303,0.01466031,0.010974539,0.011831316
5.27,0.005103098,0.013078274,0.004716024,0.008335053,0.011688477,0.005834434,0.005979133,0.006798904,0.006609749,0.010352423,0.004773548,0.011849192,0.005312292,0.011390988,0.009803922,0.009166011,0.008435137,0.008169678,0.012394196,0.00665383,0.008105596,0.00592686,0.007202148,0.022406082,0.013683528,0.015535929,0.00511025,0.005166409,0.004447533,0.00714623,0.002823247,0.018731563,0.025428376,0.002102022,0.01053596,0.014023392,0.00696913,0.008707723,0.011618829,0.017401669,0.013081651,0.013822725
