Size,D1,D2,D3,D4,D7,D8,D9,D11,D16,D50,D51,D54,D55,D56,D57,D58,D65,D64,D70,UP7,UP8,UP9,UP10,UP13,UP14,UP17,UP20,UP22,UP24,UP25,UP30,UP33,UP34,UP48,UP56,UP57,UP62,UP68,UP69,UP77,UP78,UP82
0.37,0.005669032,0.00292797,0.001361107,0.001763979,0.01022741,0.003963015,0.0024077,0.001035962,0.001893419,0.01784139,0.005070148,0.00191502,0.004921769,0.00195914,0.002236527,0.004956732,0.00751417,0.00279851,0,0.006669881,0.004315169,0.00416142,0.001586917,0.00348837,0.00374698,0.002435609,0.004256734,0.000903445,0.001297114,0.001888872,0.000520887,0.008849565,0.007343725,0.000714096,0.001740775,0.02473686,0.00498908,0.005115424,0.014272391,0.000482241,0.004264181,0.000416712
0.44,0.00610512,0.00322077,0.001663569,0.001959974,0.01081184,0.00429327,0.00254147,0.001082347,0.001893419,0.019163004,0.005475767,0.002154396,0.005906114,0.00223901,0.002643168,0.005664834,0.008115311,0.003031711,0,0.007359859,0.004520655,0.004539726,0.001586917,0.003756708,0.004035215,0.002622961,0.004522785,0.001032509,0.001297114,0.001888872,0.000650892,0.009955755,0.008322895,0.000714096,0.0020309,0.027368415,0.00592454,0.005653883,0.015111939,0.000510608,0.004264181,0.000468801
0.52,0.006541186,0.00380637,0.001966041,0.002155978,0.011688485,0.00462351,0.00267523,0.00111327,0.002065544,0.021145362,0.006286987,0.002513466,0.007382631,0.00307865,0.003253132,0.006372936,0.009317593,0.003731339,0,0.008049858,0.004726141,0.004918032,0.001745608,0.004025046,0.004323441,0.00299767,0.00505487,0.001161574,0.001389769,0.00214072,0.000911084,0.011061945,0.009791639,0.000892625,0.002901288,0.03157893,0.00686,0.006192354,0.016511186,0.000595709,0.004765847,0.00052089
0.61,0.007195306,0.004684755,0.002419743,0.002743961,0.012565107,0.00561426,0.00280899,0.001175118,0.002409806,0.023788548,0.007301017,0.0032316,0.009351343,0.00391828,0.004269737,0.008497242,0.011120995,0.004664179,0,0.008739836,0.005137103,0.005296338,0.001904299,0.004561716,0.005188136,0.003559736,0.005853007,0.001419696,0.001482419,0.002392568,0.001171388,0.01327434,0.012239545,0.001071147,0.003771663,0.037894725,0.0087309,0.007000048,0.018750006,0.000709178,0.005016681,0.000572979
0.72,0.008285516,0.00614874,0.002873445,0.003527958,0.014026182,0.00627477,0.00307651,0.001267893,0.002754063,0.02709252,0.008720648,0.004069422,0.012796573,0.00587741,0.005692976,0.011329668,0.013224958,0.006063434,0,0.010119814,0.005753562,0.006052968,0.002221681,0.005366724,0.005764588,0.004121796,0.006917195,0.00180689,0.00166772,0.002770344,0.001692015,0.016592925,0.015177039,0.001338934,0.005512438,0.0463158,0.01122544,0.008076978,0.020988801,0.000851013,0.005769186,0.000677157
0.85,0.009375702,0.007905525,0.003478379,0.004115951,0.015779449,0.00726552,0.00361156,0.001422512,0.00327045,0.030396492,0.010343106,0.004907244,0.016733974,0.00839631,0.007319545,0.014870178,0.015629501,0.007695891,0,0.011269784,0.006575496,0.007187886,0.002539063,0.006171738,0.006629283,0.004871219,0.008247416,0.002323141,0.001945676,0.00314812,0.002342785,0.01991151,0.018604115,0.00160672,0.007253213,0.05526315,0.0140318,0.009423142,0.024347018,0.001021216,0.006521685,0.00080738
1.01,0.011338064,0.010540695,0.004083312,0.004899939,0.019870413,0.00891678,0.00441413,0.001793603,0.004131094,0.036343608,0.012371165,0.00574506,0.019194859,0.01147495,0.008946108,0.018410706,0.018635165,0.009328359,0,0.013569747,0.008219376,0.008701128,0.003173827,0.007513416,0.007782195,0.005620636,0.010375792,0.002968457,0.002501582,0.004029592,0.002863403,0.024336285,0.021541602,0.001785243,0.008993975,0.06736842,0.01683816,0.011577002,0.02966418,0.00127652,0.008277523,0.001015736
1.19,0.016352975,0.01639665,0.00559566,0.007055907,0.029805608,0.012219285,0.00642055,0.002659482,0.005852381,0.050220282,0.015818856,0.007420704,0.023132283,0.01623286,0.011792599,0.022659318,0.024947074,0.012126869,0,0.01885965,0.011918085,0.012105918,0.004602052,0.010733454,0.010952724,0.007681532,0.014100441,0.004259095,0.003520745,0.005918464,0.003774487,0.033738945,0.028885335,0.002320823,0.011605125,0.093157875,0.02151544,0.016423191,0.042257451,0.001843861,0.011789199,0.001510582
1.4,0.025074579,0.029572515,0.008620336,0.011367852,0.047922754,0.018494055,0.0100321,0.004143843,0.008778575,0.075991188,0.022105843,0.011011368,0.031007086,0.02490904,0.017282258,0.031156578,0.03727033,0.017490676,0,0.028289464,0.018493581,0.019293822,0.007141115,0.017173524,0.017582006,0.012178042,0.021283669,0.006582236,0.005095815,0.009318432,0.005856959,0.05254425,0.044062374,0.003481227,0.017117563,0.143157915,0.03055816,0.024769414,0.064925372,0.002865078,0.018060051,0.002396095
1.65,0.032269886,0.04391958,0.011040079,0.015679798,0.064286633,0.024108315,0.01324238,0.005489043,0.011188375,0.100440522,0.026973182,0.014242968,0.036421028,0.03246572,0.021145354,0.040361922,0.048391326,0.022621269,0,0.036339322,0.024658116,0.025725096,0.009521486,0.02415027,0.024499515,0.016487195,0.026870642,0.008776313,0.006392928,0.0127184,0.007288661,0.06969027,0.055812338,0.004373852,0.022049751,0.188421075,0.03710632,0.030961757,0.084235076,0.003772825,0.022825899,0.003099297
1.95,0.040555401,0.060609015,0.013762284,0.021363733,0.082988186,0.029392335,0.01698769,0.006973404,0.013426056,0.130176228,0.031637729,0.017833632,0.04035843,0.04086202,0.024601803,0.048859164,0.059812861,0.028218289,0,0.043929187,0.031028125,0.032534676,0.012060549,0.033273702,0.033434631,0.020796348,0.032457597,0.010970396,0.007597392,0.016496144,0.008720363,0.088495575,0.068051882,0.005355734,0.027272051,0.23368419,0.0436545,0.03715411,0.103544781,0.004652205,0.027842579,0.003698321
2.3,0.051239344,0.08403279,0.017845606,0.030575617,0.108995045,0.03863937,0.02340824,0.00930818,0.018417794,0.170484594,0.038330318,0.023459004,0.05069414,0.05429611,0.030904743,0.06726987,0.076945204,0.038246264,0.001295583,0.055198971,0.040274921,0.043883982,0.017138674,0.04642218,0.044963815,0.026791688,0.04150315,0.015487613,0.010098974,0.023044232,0.011453614,0.11283186,0.081760178,0.006426881,0.038006801,0.288421065,0.05550358,0.044961864,0.128451497,0.005843623,0.034865937,0.004531745
2.72,0.061051134,0.10365021,0.021172753,0.03880751,0.129449888,0.042932625,0.02742108,0.01069977,0.019450563,0.208149774,0.043603276,0.029084382,0.055123714,0.06269242,0.033751234,0.074350908,0.089268461,0.045242539,0.023968351,0.062788837,0.045412024,0.04918032,0.019519045,0.05876565,0.057069451,0.031662907,0.046025935,0.016649187,0.010840186,0.026947896,0.013015468,0.13495575,0.094489311,0.007140984,0.045840264,0.341052615,0.0645463,0.050615747,0.149720147,0.006694637,0.039130112,0.005130769
3.2,0.072171143,0.12561,0.025709768,0.049587378,0.157794444,0.05317041,0.03517924,0.013328326,0.024958688,0.254405298,0.051309894,0.036744462,0.067920287,0.07668626,0.040257498,0.097718328,0.107903626,0.057602609,0.105158432,0.075438598,0.054453334,0.062042868,0.025549316,0.074329158,0.069751556,0.038595021,0.056401727,0.021811727,0.01380502,0.034629312,0.016009024,0.16261062,0.107708018,0.008122866,0.062957827,0.39315789,0.07982538,0.058154265,0.173507466,0.007772586,0.046404303,0.005912105
3.78,0.083945295,0.145520205,0.029490618,0.058407264,0.18555457,0.060766185,0.04093098,0.015570331,0.027884881,0.305286324,0.058813721,0.045840816,0.078255997,0.08676182,0.045543833,0.113296608,0.125035949,0.067630595,0.184837004,0.089698323,0.061850775,0.07112232,0.030151368,0.090966012,0.085027721,0.046838619,0.063851007,0.024005804,0.015565395,0.039792224,0.017570878,0.19303098,0.126801715,0.009283277,0.079205016,0.456842115,0.09510446,0.066231243,0.201212676,0.008878903,0.052675155,0.00669344
4.46,0.099862205,0.170993565,0.03538874,0.069579121,0.225295396,0.073645965,0.05002675,0.019312157,0.033909394,0.371365638,0.069968047,0.05804907,0.095482144,0.10131542,0.053879983,0.138788352,0.148780762,0.082555974,0.135604719,0.112697905,0.074796281,0.087767964,0.038085938,0.112701252,0.103186188,0.058829304,0.076621208,0.028910215,0.019178785,0.048355104,0.020694595,0.235066365,0.152749555,0.011157785,0.105606692,0.53842104,0.11599626,0.078885185,0.239272386,0.010467461,0.062708516,0.007891488
