,Water Column,Trap Fine,Trap Full,Bedload
Water Column,0.0,17.783832219731206,2258.484818871351,1972.4711560502046
Trap Fine,17.783832219731206,0.0,2276.268651091082,1990.254988269936
Trap Full,2258.484818871351,2276.268651091082,0.0,286.34908287600456
Bedload,1972.4711560502046,1990.254988269936,286.34908287600456,0.0
