,WC,Trap Fine,Bedload,Trap Full
WC,0.0,0.08107266347432933,0.7622702147415807,0.8150963106513638
Trap Fine,0.08107266347432933,0.0,0.7656024974133735,0.8154894926977252
Bedload,0.7622702147415807,0.7656024974133735,0.0,0.15659854370765555
Trap Full,0.8150963106513638,0.8154894926977252,0.15659854370765555,0.0
