,Water Column,Trap Fine,Trap Full,Bedload
Water Column,0.0,0.08107266347432933,0.8150963106513638,0.7622702147415807
Trap Fine,0.08107266347432933,0.0,0.8154894926977252,0.7656024974133735
Trap Full,0.8150963106513638,0.8154894926977252,0.0,0.15659854370765555
Bedload,0.7622702147415807,0.7656024974133735,0.15659854370765555,0.0
