,Water Column,Trap Fine,Trap Full
Water Column,0.0,14.909767340649047,1550.6368054376085
Trap Fine,14.909767340649047,0.0,1565.5465727782575
Trap Full,1550.6368054376085,1565.5465727782575,0.0
