Di (um),T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
3.78,0.035375862,0.038965946,0.046752878,0.060601857,0.03630378,0.032147061,0.079829839,0.037795464,0.047780915,0.050831949,0.085649671,0.066452894,0.044284506,0.063148691,0.031246388,0.04518611,0.04522757,0.10344025,0.060090897,0.149638362,0.074095928,0.040889568
4.46,0.040769658,0.045012943,0.054579967,0.070287491,0.041757138,0.03727818,0.09364543,0.043516431,0.055386491,0.058898835,0.100016713,0.077542325,0.050851105,0.072497679,0.035914779,0.052377249,0.051799097,0.121234962,0.069632104,0.174387445,0.08573608,0.046698265
5.27,0.046758631,0.051642004,0.063280615,0.080950575,0.047716879,0.042934344,0.109542031,0.04982009,0.063797364,0.067740706,0.116317779,0.090054551,0.058018308,0.082649649,0.041007569,0.060283924,0.058886038,0.141610586,0.080108723,0.202048184,0.098403305,0.052918602
6.21,0.053454378,0.058982477,0.072959649,0.092768826,0.054260908,0.049211016,0.127924282,0.056812383,0.07310301,0.077498467,0.134884417,0.104240653,0.065906236,0.093834022,0.046657383,0.069013465,0.066617246,0.16517839,0.091707838,0.232620581,0.112342143,0.059687793
7.33,0.060968494,0.067131371,0.083686954,0.105964391,0.061506083,0.056155927,0.148965601,0.064652227,0.083422733,0.088313026,0.156103433,0.120226173,0.074715088,0.106165509,0.052917271,0.07860165,0.075121575,0.192345888,0.104616529,0.266000646,0.127797135,0.06714305
8.65,0.069412574,0.076218036,0.095637241,0.12071499,0.069608214,0.063960002,0.173244046,0.073445566,0.094875836,0.100325288,0.180416888,0.138178497,0.084645068,0.11981618,0.059893332,0.089227363,0.084463452,0.223724349,0.119096714,0.302292368,0.145012822,0.075421586
10.21,0.079009811,0.086436491,0.109124992,0.137420487,0.078801017,0.072790301,0.201106452,0.083404287,0.107730751,0.113746614,0.208266845,0.158055779,0.096016496,0.135130167,0.067850817,0.101176817,0.095093863,0.259992959,0.135447723,0.341183783,0.164429379,0.084843567
12.05,0.090094992,0.098142443,0.12449963,0.156480748,0.089435064,0.082909346,0.232726236,0.094819735,0.122375213,0.129070175,0.239929594,0.179565091,0.109189735,0.152681029,0.077028449,0.114807781,0.107463796,0.301355475,0.154268222,0.381739003,0.186584795,0.095820632
14.22,0.103412089,0.112014966,0.142669658,0.179006512,0.102289407,0.094937644,0.268970487,0.108460004,0.1398233,0.147352768,0.276399776,0.202664585,0.12500563,0.173845304,0.088142402,0.13108623,0.122475226,0.349034435,0.176792954,0.423750051,0.2128485,0.109084586
16.78,0.119667874,0.128700798,0.164298979,0.205753079,0.117948334,0.109400242,0.308798698,0.125013729,0.160850482,0.169404605,0.31695904,0.226224396,0.144144865,0.199770107,0.1017497,0.150656145,0.141287833,0.401739382,0.203807665,0.465345148,0.244100842,0.125367233
19.81,0.139643518,0.149073035,0.190051499,0.2376979,0.137229849,0.126750586,0.350418889,0.145116572,0.186112925,0.19589499,0.360060164,0.248989115,0.167168003,0.231717264,0.118407367,0.174233062,0.164996872,0.456753566,0.235836188,0.504340552,0.280733086,0.145308902
23.37,0.148947408,0.158600741,0.201645639,0.252250729,0.146263603,0.134613956,0.365951217,0.154345765,0.197452818,0.207733463,0.376555224,0.256944302,0.177523683,0.246440256,0.125955636,0.184843563,0.176321593,0.477159519,0.249946207,0.517465732,0.296620353,0.154605837
25,0.16367381,0.173681404,0.219997101,0.275285269,0.160562429,0.147060273,0.39053613,0.168953935,0.21540185,0.226471658,0.402663968,0.269535948,0.193914883,0.269744132,0.137903204,0.201638099,0.19424661,0.509458513,0.272279857,0.538240556,0.321767069,0.169321232
27.58,0.192688713,0.203625358,0.254415327,0.319270488,0.188569316,0.170615692,0.426895991,0.196684735,0.248240044,0.260676664,0.442670652,0.287362732,0.224345466,0.313735999,0.16002501,0.232620816,0.229294755,0.557069553,0.312614842,0.566421234,0.366175718,0.197404224
32.55,0.226837022,0.238743214,0.29236273,0.36845396,0.220899936,0.196748603,0.4577643,0.227381961,0.282778308,0.296537319,0.477925162,0.302176538,0.256858141,0.36185748,0.183552639,0.265714365,0.269110478,0.597209532,0.355007735,0.588986574,0.411709255,0.228277221
