Di (um),T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-A,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
0.37,0.000119548,0.000154696,0.000107722,0.000145494,8.99621E-05,9.53592E-05,0.000157691,0.000108723,0.000194235,0.000156468,0.000156703,0.000269067,0.000172243,0.000133382,0.000199552,0.000128587,7.71837E-05,0.000124929,0.000198925,0.000147516,0.000203239,9.62322E-05,0.000102527
0.44,0.000245691,0.00031906,0.000221147,0.000300125,0.000185981,0.000196035,0.000326103,0.0002239,0.000401155,0.000322552,0.000322024,0.000555881,0.000356075,0.000275693,0.000411251,0.000265601,0.000157617,0.000257019,0.000407128,0.000301889,0.000418695,0.000197292,0.000210508
0.52,0.00038214,0.000499002,0.000343201,0.000469166,0.000291423,0.000305349,0.000512384,0.000349005,0.000627894,0.000503496,0.000501387,0.000871319,0.000558869,0.000432235,0.000642905,0.000415619,0.000242601,0.000400219,0.000629251,0.000467065,0.00065303,0.000305594,0.000327487
0.61,0.000533636,0.00070204,0.000478047,0.000659995,0.000410999,0.000426624,0.000725468,0.000488674,0.000883174,0.000706585,0.000701176,0.001228549,0.000789054,0.000609705,0.000902322,0.000585141,0.000334409,0.000559467,0.000871092,0.000647617,0.000916241,0.000424355,0.000457555
0.72,0.000705949,0.000936233,0.000630152,0.000880696,0.000549868,0.000566507,0.000976076,0.000648531,0.001180473,0.000940267,0.000929689,0.001642454,0.001057163,0.000815638,0.001202518,0.000781633,0.000435479,0.000740689,0.001139902,0.000849153,0.001219434,0.000557761,0.000605892
0.85,0.000907119,0.001213933,0.000806916,0.001142867,0.000714537,0.000731973,0.001276717,0.00083619,0.001534852,0.001215617,0.001198095,0.00213021,0.00137268,0.00105952,0.001557374,0.001014245,0.000551011,0.000951538,0.001448728,0.001081231,0.001577046,0.000712086,0.000780134
1.01,0.001157138,0.00155985,0.001026059,0.001470755,0.00092026,0.000939969,0.001651512,0.001069026,0.001978025,0.001558565,0.001533524,0.002733034,0.001760886,0.001362559,0.001998991,0.001303445,0.000694004,0.001211273,0.001830048,0.001367953,0.002022395,0.000903424,0.000997186
1.19,0.001506506,0.002042201,0.001331657,0.001926567,0.001207645,0.001229369,0.00216747,0.001392546,0.002591649,0.002034964,0.002001081,0.00356428,0.002295525,0.001782795,0.002610662,0.001704857,0.000893219,0.001570507,0.002360707,0.001765831,0.002639331,0.001169431,0.001299587
1.4,0.002017263,0.002750149,0.001775338,0.002590076,0.001630086,0.001647022,0.002914827,0.001861693,0.003480373,0.002727854,0.002680874,0.004772219,0.003070357,0.002394454,0.003493896,0.002290239,0.00117953,0.002091952,0.003125667,0.002337197,0.00353336,0.001553073,0.001737509
1.65,0.002657049,0.003639651,0.002326894,0.003419462,0.002162679,0.002166348,0.003844891,0.002444362,0.004591872,0.003590907,0.003528222,0.006272697,0.004026913,0.003155399,0.004583624,0.003021064,0.00153165,0.002738079,0.004066644,0.003039457,0.004644512,0.002025866,0.002282049
1.95,0.003403397,0.004677939,0.002966448,0.004385909,0.002787702,0.002767077,0.004918352,0.003117384,0.005876994,0.004587119,0.004510571,0.008003313,0.005123055,0.0040341,0.005832126,0.003864342,0.001935768,0.003482718,0.00514797,0.003845602,0.00592725,0.002568983,0.002912755
2.3,0.004249299,0.005863941,0.003689065,0.00548836,0.003507623,0.003447549,0.006133868,0.003874142,0.007330981,0.005708913,0.00562441,0.009946321,0.006351935,0.005026929,0.007232461,0.004813813,0.002384896,0.004322906,0.006359786,0.004745243,0.007382686,0.003175343,0.003626355
2.72,0.005166312,0.007154685,0.004474098,0.006690268,0.004298437,0.004179522,0.007443642,0.004692294,0.008899131,0.006921616,0.006833676,0.012043899,0.007673521,0.006102075,0.00873691,0.005843228,0.002869448,0.005229509,0.007668455,0.005716564,0.008960842,0.003828048,0.004399127
3.2,0.006138563,0.008531371,0.005310448,0.007974763,0.005150272,0.004956351,0.008830251,0.005559926,0.010560037,0.008208038,0.008125921,0.014255401,0.009061476,0.007239727,0.010322915,0.006939827,0.00338341,0.006188947,0.009061216,0.006747723,0.010643395,0.004519537,0.005218799
3.78,0.007172444,0.009996147,0.006208905,0.009342548,0.006065149,0.005775709,0.010292355,0.006486304,0.012309737,0.00958362,0.009511678,0.016607161,0.010520541,0.008440163,0.011983535,0.008114444,0.003935883,0.00720295,0.01055808,0.007855757,0.012425901,0.005259624,0.006088099
4.46,0.008287535,0.011572112,0.007191197,0.010815763,0.007059667,0.006654541,0.011852736,0.007492942,0.014176771,0.011082162,0.011022861,0.019144406,0.012070731,0.009719567,0.013743064,0.009393327,0.004542791,0.008290281,0.012206892,0.009072662,0.01434279,0.006068426,0.00702366
5.27,0.009482392,0.013258727,0.00826241,0.012393707,0.008134276,0.007593513,0.013509162,0.008582819,0.016161138,0.012708035,0.012664577,0.02187286,0.013712047,0.011077103,0.015601501,0.010775514,0.005210146,0.009456125,0.01403549,0.010413812,0.016399058,0.006951896,0.008027663
6.21,0.010761758,0.015065661,0.009427937,0.01408692,0.009291669,0.008600599,0.015269226,0.009760401,0.018274731,0.014464153,0.014441933,0.024811988,0.015457658,0.012522258,0.017572729,0.012257391,0.005945585,0.010714555,0.016081571,0.01190331,0.018616363,0.007918241,0.00910938
7.33,0.012126043,0.016995062,0.010688242,0.015897162,0.010527357,0.009682444,0.017136502,0.011026518,0.020521514,0.016348768,0.016356204,0.027969805,0.01731599,0.014058938,0.019668893,0.013838717,0.006757883,0.012073966,0.018374713,0.013561517,0.02100581,0.008975831,0.010275899
8.65,0.013580196,0.019054451,0.012048256,0.017831109,0.011846277,0.010847686,0.019121712,0.01238663,0.022911793,0.018371785,0.018417286,0.031361195,0.019299159,0.01569412,0.021896935,0.015533701,0.007660039,0.013542751,0.020946524,0.015411287,0.023578505,0.010138825,0.011538402
10.21,0.015151422,0.021293244,0.013525546,0.019935502,0.013275575,0.012130217,0.021277567,0.013861753,0.025508199,0.020556516,0.02065039,0.035044551,0.021458259,0.017462126,0.024301104,0.017354623,0.008668465,0.015159675,0.023855578,0.017483578,0.026392755,0.011433294,0.012931245
12.05,0.016870641,0.023746356,0.015141844,0.022247241,0.014828486,0.01355263,0.023645166,0.015478033,0.028350371,0.022923356,0.023089347,0.039078839,0.023829634,0.019385,0.026923912,0.019332065,0.009806884,0.016951647,0.027160451,0.019812672,0.029482988,0.012891582,0.014476789
