,Water Column,Trap Fine,Trap Full
Water Column,0.0,0.06326106686591731,0.630920291223521
Trap Fine,0.06326106686591731,0.0,0.6318826581638403
Trap Full,0.630920291223521,0.6318826581638403,0.0
