Date_Time,LabID,SSC (mg/L),SSC (uL/L),TurbClean
2023-07-29 15:07:00,440,110.0000003,271.06,38.996
2023-07-29 15:22:00,441,53.333,249.509,37.044000000000004
2023-07-29 15:37:00,442,80.00000024,244.856,35.052
2023-07-29 15:52:00,443,43.33430055,233.25,26.546000000000003
2023-07-29 16:07:00,444,92.22199982,124.5634,20.79
2023-07-29 15:16:00,446,99.9998979,327.453,37.516
2023-07-29 15:31:00,447,105.5558544,241.809,36.156
2023-07-29 15:46:00,448,50.0025231,158.525,29.958000000000002
2023-07-29 16:01:00,449,68.88899987,132.472,22.630000000000003
2023-07-29 16:16:00,450,51.11255035,98.91,18.118000000000002
2023-07-29 16:31:00,451,45.26299991,90.357,15.154
2023-07-29 16:46:00,452,19.99976348,84.562,13.312
2023-07-29 17:16:00,453,15.4555238,59.01,11.456
2023-07-29 17:46:00,454,26.00000003,42.72,10.780000000000001
2023-07-29 18:31:00,455,21.0000428,98.146,11.886
2023-08-13 18:45:00,456,76.15400015,210.458,22.6081168
2023-08-13 18:58:00,457,41.19999988,116.066,15.4244312
2023-08-13 19:02:00,458,39.60000008,113.258,13.66403352
2023-08-13 19:10:00,459,27.60000003,81.15,11.2306587
2023-08-13 21:02:00,460,20.83337099,56.15,8.71044812
2023-08-13 18:45:00,461,43.19985899,183.808,22.6081168
2023-08-13 19:00:00,462,29.23134989,83.528,14.3981904
2023-08-13 19:15:00,463,25.0003814,72.105,11.2503941
2023-08-13 19:30:00,464,23.75164954,67.607,9.6024882
2023-08-13 19:45:00,465,22.22200007,70.3,8.7834691
2023-08-13 20:00:00,466,22.22200002,67.88,7.0862247
2023-08-13 20:15:00,467,21.90499996,84.66,6.9382092
2023-08-13 20:30:00,468,17.99999996,67.57,6.385618
2023-08-13 20:45:00,469,20.49895521,54.936,7.1355632
2023-08-13 21:00:00,470,12.5580333,75.338,8.6749244
2023-08-13 21:15:00,471,18.00054756,59.166,8.9413523
2023-08-13 21:30:00,472,20.00062928,50.774,7.8953761
2023-09-14 17:52:00,484,37.60000057,63.87,13.498
2023-09-14 18:07:00,485,31.53869708,75.4,13.876
2023-09-14 18:22:00,486,28.07713222,70.75,12.424000000000001
2023-09-14 18:52:00,488,23.59980959,54.12,9.956
2023-09-14 19:09:00,489,21.17521668,,8.847999999999999
2023-08-28 12:20:00,476,77.89499993,232.052,35.6630839
2023-08-28 12:35:00,477,43.00000009,143.896,24.9961002
2023-08-28 12:50:00,478,36.0,104.006,15.3060188
2023-08-28 13:05:00,479,28.8362148,88.144,12.9180354
2023-08-28 13:20:00,480,29.5451921,92.256,11.4082773
2023-08-28 14:05:00,481,26.84115408,82.494,10.6780675
2023-08-28 14:35:00,482,24.00051874,69.395,10.9346277
2023-08-28 15:20:00,483,23.57142857,0.0,9.086078566666666
2023-09-14 17:45:00,490,30.76835869,95.963,12.23
2023-09-14 18:00:00,491,30.19991885,80.18,14.09
2023-09-14 18:15:00,492,29.17968566,70.51,13.07
2023-09-14 18:45:00,493,20.4175278,64.437,10.54
2023-09-14 19:15:00,494,17.99943179,46.07,8.47
2023-07-20 14:15:00,436,13.33333333,0.0,4.5403581
2023-08-16 16:30:00,475,5.714285714,0.0,2.59
2023-08-15 12:00:00,474,5.333333333,0.0,2.4089349
