Time,Elevation,Smoothed,Smoothed_SG
2021-07-29 12:15:00,2723.138546,,2723.1354641161306
2021-07-29 12:30:00,2723.13466,,2723.135219820691
2021-07-29 12:45:00,2723.133501,,2723.134977384619
2021-07-29 13:00:00,2723.13525,,2723.134736807915
2021-07-29 13:15:00,2723.133304,,2723.134498090578
2021-07-29 13:30:00,2723.135827,,2723.134261232609
2021-07-29 13:45:00,2723.132911,,2723.1340262340073
2021-07-29 14:00:00,2723.131158,,2723.133793094773
2021-07-29 14:15:00,2723.131548,,2723.1335618149064
2021-07-29 14:30:00,2723.136413,,2723.1333323944073
2021-07-29 14:45:00,2723.131355,2723.1332508,2723.133104833276
2021-07-29 15:00:00,2723.132908,2723.1329690499997,2723.132879131512
2021-07-29 15:15:00,2723.132714,2723.13273615,2723.132655289115
2021-07-29 15:30:00,2723.131158,2723.13269715,2723.1324333060866
2021-07-29 15:45:00,2723.13466,2723.1324734,2723.132213182425
2021-07-29 16:00:00,2723.131158,2723.13225,2723.132122308396
2021-07-29 16:15:00,2723.133297,2723.13187125,2723.131922279602
2021-07-29 16:30:00,2723.132521,2723.1316383,2723.131635823351
2021-07-29 16:45:00,2723.129799,2723.131493,2723.131442700807
2021-07-29 17:00:00,2723.132328,2723.1313962,2723.131128992325
2021-07-29 17:15:00,2723.132911,2723.1311043,2723.1310081162082
2021-07-29 17:30:00,2723.130002,2723.1309195,2723.1307146934414
2021-07-29 17:45:00,2723.132721,2723.1306959000003,2723.130357087191
2021-07-29 18:00:00,2723.130775,2723.1305013,2723.129921160405
2021-07-29 18:15:00,2723.128836,2723.1303847000004,2723.1297942066103
2021-07-29 18:30:00,2723.128252,2723.13013195,2723.1294976637528
2021-07-29 18:45:00,2723.128252,2723.13001565,2723.129373459959
2021-07-29 19:00:00,2723.128252,2723.1298509,2723.1291802923247
2021-07-29 19:15:00,2723.129612,2723.12970545,2723.1289390521456
2021-07-29 19:30:00,2723.130575,2723.12980255,2723.1290712307186
2021-07-29 19:45:00,2723.127659,2723.1297829000005,2723.129004216432
2021-07-29 20:00:00,2723.128436,2723.12972425,2723.129112904378
2021-07-29 20:15:00,2723.128822,2723.1297529000003,2723.129261754379
2021-07-29 20:30:00,2723.128826,2723.12976225,2723.1294210429946
2021-07-29 20:45:00,2723.129605,2723.12990785,2723.129691744334
2021-07-29 21:00:00,2723.128832,2723.1300243,2723.1300371749144
2021-07-29 21:15:00,2723.130002,2723.1302573999997,2723.1302961711203
2021-07-29 21:30:00,2723.129612,2723.1304905,2723.130639774245
2021-07-29 21:45:00,2723.131741,2723.1307236000002,2723.130947317994
2021-07-29 22:00:00,2723.131935,2723.1307721000003,2723.1311303543775
2021-07-29 22:15:00,2723.131738,2723.1308016,2723.1312779296004
2021-07-29 22:30:00,2723.130575,2723.1309769,2723.131410136522
2021-07-29 22:45:00,2723.132908,2723.1310743500003,2723.131620938308
2021-07-29 23:00:00,2723.133687,2723.1312301499997,2723.131727964423
2021-07-29 23:15:00,2723.131165,2723.1313664,2723.1320463048246
2021-07-29 23:30:00,2723.132914,2723.13150235,2723.13206018853
2021-07-29 23:45:00,2723.132914,2723.13167695,2723.1319483309408
2021-07-30 00:00:00,2723.132914,2723.13179305,2723.132037804155
2021-07-30 00:15:00,2723.130582,2723.1318119,2723.1320782443336
2021-07-30 00:30:00,2723.131165,2723.13187005,2723.1319954894234
2021-07-30 00:45:00,2723.131165,2723.13174355,2723.131881163977
2021-07-30 01:00:00,2723.130385,2723.13174355,2723.1317736231276
2021-07-30 01:15:00,2723.131938,2723.1319474999996,2723.1317058291556
2021-07-30 01:30:00,2723.131551,2723.1318306999997,2723.1316411088433
2021-07-30 01:45:00,2723.132324,2723.13166525,2723.1315293012535
2021-07-30 02:00:00,2723.132324,2723.1317523999996,2723.1314748829495
2021-07-30 02:15:00,2723.132324,2723.1317229,2723.131405263754
2021-07-30 02:30:00,2723.129989,2723.1317229,2723.1314120454495
2021-07-30 02:45:00,2723.132904,2723.13163545,2723.131660056165
2021-07-30 03:00:00,2723.129405,2723.13175205,2723.1317589925484
2021-07-30 03:15:00,2723.131738,2723.1319266500004,2723.1319733465652
2021-07-30 03:30:00,2723.134654,2723.1320721,2723.132111545226
2021-07-30 03:45:00,2723.130572,2723.1322274,2723.1323012610746
2021-07-30 04:00:00,2723.130378,2723.132373,2723.1323713791558
2021-07-30 04:15:00,2723.132908,2723.1323727000004,2723.132468853039
2021-07-30 04:30:00,2723.132324,2723.13235325,2723.1325290753607
2021-07-30 04:45:00,2723.132914,2723.1322947999997,2723.1326017253605
2021-07-30 05:00:00,2723.131165,2723.1323238,2723.132757172236
2021-07-30 05:15:00,2723.132914,2723.1324403999997,2723.132767311522
2021-07-30 05:30:00,2723.134657,2723.1324112499997,2723.1327729820578
2021-07-30 05:45:00,2723.134074,2723.1325379,2723.1327273804945
2021-07-30 06:00:00,2723.133491,2723.1325675499997,2723.13264936844
2021-07-30 06:15:00,2723.13485,2723.13236395,2723.1325910751375
2021-07-30 06:30:00,2723.131545,2723.1323061,2723.132649695896
2021-07-30 06:45:00,2723.131935,2723.13234545,2723.1324242179944
2021-07-30 07:00:00,2723.131155,2723.1322874499997,2723.1323563871915
