Time,Elevation,Smoothed,Smoothed_SG
2022-03-01 00:00:00,2737.311255,,2737.308466422178
2022-03-01 00:15:00,2737.310089,,2737.3098880000143
2022-03-01 00:30:00,2737.311645,,2737.311246598042
2022-03-01 00:45:00,2737.314174,,2737.3125422162607
2022-03-01 01:00:00,2737.312425,,2737.3137748546706
2022-03-01 01:15:00,2737.313008,,2737.3149445132717
2022-03-01 01:30:00,2737.315341,,2737.3160511920637
2022-03-01 01:45:00,2737.313785,,2737.3170948910465
2022-03-01 02:00:00,2737.313005,,2737.3180756102206
2022-03-01 02:15:00,2737.315144,,2737.318993349586
2022-03-01 02:30:00,2737.3272,2737.3185968000003,2737.319848109142
2022-03-01 02:45:00,2737.319812,2737.31915095,2737.320639888889
2022-03-01 03:00:00,2737.320592,2737.31979275,2737.3213686888275
2022-03-01 03:15:00,2737.324674,2737.32035655,2737.322034508957
2022-03-01 03:30:00,2737.324091,2737.32098835,2737.3226373492776
2022-03-01 03:45:00,2737.32681,2737.32168795,2737.3235394831727
2022-03-01 04:00:00,2737.324864,2737.32227075,2737.323955150807
2022-03-01 04:15:00,2737.324091,2737.32282455,2737.324465949914
2022-03-01 04:30:00,2737.325257,2737.32339785,2737.3250119494674
2022-03-01 04:45:00,2737.324674,2737.3239323000003,2737.3253748744683
2022-03-01 05:00:00,2737.322338,2737.3243405000003,2737.325647263084
2022-03-01 05:15:00,2737.322925,2737.3242237000004,2737.325750397235
2022-03-01 05:30:00,2737.322921,2737.3245251,2737.325733873798
2022-03-01 05:45:00,2737.32681,2737.32464175,2737.325618186521
2022-03-01 06:00:00,2737.326417,2737.3245056500004,2737.3255774521463
2022-03-01 06:15:00,2737.324664,2737.32433055,2737.3261227086196
2022-03-01 06:30:00,2737.326417,2737.3239320000002,2737.3260113003603
2022-03-01 06:45:00,2737.325251,2737.3237279,2737.3255061847353
2022-03-01 07:00:00,2737.323694,2737.3234068499996,2737.324832666878
2022-03-01 07:15:00,2737.323308,2737.3228040500003,2737.3239619249134
2022-03-01 07:30:00,2737.324864,2737.32190005,2737.323306638753
2022-03-01 07:45:00,2737.32584,2737.3207921000003,2737.3223695157626
2022-03-01 08:00:00,2737.322925,2737.3195965,2737.321341387191
2022-03-01 08:15:00,2737.321952,2737.3184594,2737.319932304378
2022-03-01 08:30:00,2737.320589,2737.31721535,2737.3182696095128
2022-03-01 08:45:00,2737.318839,2737.3159325999995,2737.316262358173
2022-03-01 09:00:00,2737.320782,2737.3144168,2737.3141429766997
2022-03-01 09:15:00,2737.31767,2737.31272585,2737.3119154186643
2022-03-01 09:30:00,2737.313201,2737.3108308,2737.3097292563866
2022-03-01 09:45:00,2737.306594,2737.3091594,2737.307564855941
2022-03-01 10:00:00,2737.300179,2737.3075073,2737.3051173588424
2022-03-01 10:15:00,2737.299013,2737.3057967,2737.302876566878
2022-03-01 10:30:00,2737.300179,2737.3039885000003,2737.3006054798243
2022-03-01 10:45:00,2737.301929,2737.30226755,2737.2985646166544
2022-03-01 11:00:00,2737.300762,2737.3006536,2737.2965924362975
2022-03-01 11:15:00,2737.294348,2737.2990398,2737.294862322904
2022-03-01 11:30:00,2737.292598,2737.29772745,2737.293371147459
2022-03-01 11:45:00,2737.28735,2737.2962887999997,2737.292052041878
2022-03-01 12:00:00,2737.290266,2737.29512235,2737.2910834858517
2022-03-01 12:15:00,2737.290266,2737.2940239,2737.2904116028158
2022-03-01 12:30:00,2737.290652,2737.2933239500003,2737.2901080722354
2022-03-01 12:45:00,2737.289676,2737.29300305,2737.290047116209
2022-03-01 13:00:00,2737.288506,2737.2928571,2737.2902560740213
2022-03-01 13:15:00,2737.289673,2737.2926820000002,2737.2905440664313
2022-03-01 13:30:00,2737.288313,2737.2923611,2737.290920459736
2022-03-01 13:45:00,2737.292592,2737.2920694,2737.291030023351
2022-03-01 14:00:00,2737.292009,2737.2919525999996,2737.291093700137
2022-03-01 14:15:00,2737.294341,2737.2921274,2737.2914258679943
2022-03-01 14:30:00,2737.291232,2737.29253545,2737.2920725987974
2022-03-01 14:45:00,2737.292595,2737.2928559999996,2737.2927384809404
2022-03-01 15:00:00,2737.293761,2737.29303075,2737.2931434731286
2022-03-01 15:15:00,2737.296094,2737.2933028499997,2737.2937150639755
2022-03-01 15:30:00,2737.296677,2737.2937695499995,2737.294045944333
2022-03-01 15:45:00,2737.295511,2737.29426555,2737.294490160182
2022-03-01 16:00:00,2737.294928,2737.29467405,2737.294900130717
2022-03-01 16:15:00,2737.292012,2737.2952963499997,2737.295382961074
2022-03-01 16:30:00,2737.296094,2737.29585065,2737.2958820706735
2022-03-01 16:45:00,2737.295511,2737.29631745,2737.296376056833
2022-03-01 17:00:00,2737.296677,2737.29669685,2737.2969216693323
2022-03-01 17:15:00,2737.293761,2737.29729965,2737.297268403262
2022-03-01 17:30:00,2737.296094,2737.2979411,2737.2978636686644
2022-03-01 17:45:00,2737.29901,2737.2985534,2737.2985733996907
2022-03-01 18:00:00,2737.298426,2737.29904905,2737.2993819769226
2022-03-01 18:15:00,2737.297843,2737.2994864,2737.300126921566
2022-03-01 18:30:00,2737.300759,2737.2999916999997,2737.30074468161
2022-03-01 18:45:00,2737.303678,2737.3006621,2737.301303611744
2022-03-01 19:00:00,2737.301345,2737.3014783000003,2737.3020611456727
2022-03-01 19:15:00,2737.301929,2737.3019738,2737.3028707827257
2022-03-01 19:30:00,2737.303288,2737.3025276,2737.3035523764765
2022-03-01 19:45:00,2737.305424,2737.30290645,2737.304281448575
2022-03-01 20:00:00,2737.306007,2737.3035769000003,2737.3046942458964
2022-03-01 20:15:00,2737.306007,2737.30424735,2737.30536941487
2022-03-01 20:30:00,2737.305424,2737.30471365,2737.305826228709
2022-03-01 20:45:00,2737.305617,2737.3052091500003,2737.3063614517005
2022-03-01 21:00:00,2737.308336,2737.3058213,2737.3067195720123
2022-03-01 21:15:00,2737.308336,2737.30620015,2737.306977078262
2022-03-01 21:30:00,2737.306004,2737.3065497,2737.3074509054945
2022-03-01 21:45:00,2737.306587,2737.3068992500002,2737.307702953039
2022-03-01 22:00:00,2737.304254,2737.3073654,2737.3077733646464
2022-03-01 22:15:00,2737.30717,2737.3077053,2737.3078718159854
2022-03-01 22:30:00,2737.309503,2737.3078801,2737.308086207504
2022-03-01 22:45:00,2737.308336,2737.30814235,2737.3083099932173
2022-03-01 23:00:00,2737.308336,2737.3082587999997,2737.308574766655
2022-03-01 23:15:00,2737.310086,2737.3085210500003,2737.308807012637
2022-03-01 23:30:00,2737.308336,2737.3088613,2737.309182495003
2022-03-01 23:45:00,2737.310669,2737.30915305,2737.3095447597357
2022-03-02 00:00:00,2737.308336,2737.3095031000003,2737.309978339869
2022-03-02 00:15:00,2737.311252,2737.30985315,2737.3102719514764
2022-03-02 00:30:00,2737.310086,2737.31011575,2737.3105593606283
2022-03-02 00:45:00,2737.30892,2737.3105533,2737.310951945227
