Di (um),T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0.114547339,0.095722052,0.092012428,0.187157147,0.087187162,0.04861298,0.116059675,0.064359192,0.073860643,0.069701493,0.08428525,0.039813129,0.062719314,0.116717796,0.048849882,0.07088561,0.135140875,0.145061536,0.101106304,0.152609373,0.155399185,0.096928774
300,0.611592951,0.737481852,0.688596983,0.588092933,0.653479671,0.32249833,0.64484423,0.560783205,0.394453133,0.478793532,0.414174464,0.415117997,0.619659588,0.65758766,0.366591907,0.518017307,0.673545236,0.693946398,0.678453568,0.769014406,0.605484677,0.627929325
850,0.058586731,0.041327616,0.065607348,0.038431752,0.068628918,0.06500005,0.078894252,0.076470437,0.069779112,0.084042289,0.057440254,0.103028065,0.106772058,0.066486998,0.064957091,0.081104185,0.050208835,0.063815831,0.076175983,0.040081341,0.056293568,0.089548605
1000,0.215272979,0.125468481,0.153783242,0.186318167,0.190704249,0.56388864,0.160201843,0.298387166,0.461907112,0.367462687,0.444100033,0.442040809,0.21084904,0.159207546,0.51960112,0.329992898,0.141105055,0.097176235,0.144264145,0.03829488,0.18282257,0.185593296
5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
