grain_size,T1-A_interpolated,T1-B_interpolated,T1-C_interpolated,T1-D_interpolated,T2-A_interpolated,T2-B_interpolated,T3-C_interpolated,T3-D_interpolated,T5-A_interpolated,T5-B_interpolated,T5-C_interpolated,T5-D_interpolated,T6-B_interpolated,T6-C_interpolated,T6-D_interpolated,T7-A_interpolated,T7-B_interpolated,T7-C_interpolated,T7-D_interpolated,T8-A_interpolated,T8-C_interpolated,T8-D_interpolated,T1-A_interpolated_kde,T1-B_interpolated_kde,T1-C_interpolated_kde,T1-D_interpolated_kde,T2-A_interpolated_kde,T2-B_interpolated_kde,T3-C_interpolated_kde,T3-D_interpolated_kde,T5-A_interpolated_kde,T5-B_interpolated_kde,T5-C_interpolated_kde,T5-D_interpolated_kde,T6-B_interpolated_kde,T6-C_interpolated_kde,T6-D_interpolated_kde,T7-A_interpolated_kde,T7-B_interpolated_kde,T7-C_interpolated_kde,T7-D_interpolated_kde,T8-A_interpolated_kde,T8-C_interpolated_kde,T8-D_interpolated_kde
0.37,0.0002071834488065863,0.00021650709025418057,0.0002056376919702283,0.0003841727176330988,0.00018700937651834417,0.00010375422382749465,0.000374513955228382,0.0001868814895826944,0.00019007806081946824,0.00021465527568145624,0.00041522405564328475,0.00023351608272316335,0.00020853731391828358,0.0003762684188614007,0.00011672218272569583,0.00018722715945610993,0.0002541364487420642,0.0005638822687652554,0.0002825214836132796,0.0005911255003577744,0.0003548998998038093,0.0002044138380543162,8.620315773763359e-12,4.7381243245904823e-11,6.5301336296718e-09,1.7320976424839968e-06,6.877732180338317e-14,2.709901410932442e-27,4.619209308621349e-06,1.176425627153591e-12,6.573603410289253e-09,4.466897685783731e-08,8.209067454126871e-06,6.770664069445712e-08,1.0903691737466495e-10,1.320634158716216e-06,1.793569385273626e-33,2.9959338920818814e-09,2.692248538915977e-08,3.5993723165318975e-05,2.9478813354740114e-07,8.397060815693052e-05,4.085798250965589e-06,5.699630568094096e-11
0.4073114850845866,0.00020627953675794253,0.00022126517110315636,0.00020860345571707136,0.00039341281714328754,0.0001861543198277781,0.00010570783996375882,0.00038130821028279033,0.00018969046816923416,0.0001993215422729612,0.00022258225568909208,0.0004331409062789474,0.0002470726886835593,0.00021160257657597842,0.000381798025521583,0.00011819151368993166,0.0001978771658387788,0.000263759049899566,0.0005666515293022773,0.0002848391456338526,0.0006191864249895092,0.0003734005340712992,0.00021210608408491727,4.8492665456437486e-11,2.4436021369797093e-10,2.2826378158111154e-08,3.619446410289045e-06,5.686001103575184e-13,1.0738964763515065e-25,8.858063784191845e-06,8.119195434924998e-12,2.2974443182260043e-08,1.3297650919016727e-07,1.4637615765657768e-05,2.0598065625780805e-07,5.628123243832351e-10,2.864732014910314e-06,1.6517107308809934e-31,1.1499540524916604e-08,8.546702974149436e-08,5.659222526493931e-05,7.35891345435622e-07,0.00012343742494701944,7.979197306471387e-06,3.1682000056751523e-10
0.4483855294103011,0.0002076992676334452,0.00022570739303777782,0.0002163761290106267,0.0003995635837664624,0.00018749776512857122,0.00010856764290037686,0.0003927760768573448,0.00019442203471296715,0.0002052784872921956,0.00023632478809203266,0.00044910398452392133,0.0002533004873279475,0.0002199454770707192,0.00039685267769982866,0.000122880994935789,0.00020679098139737945,0.0002744146294971396,0.0005917875919390682,0.00029519885573074434,0.0006552501462232734,0.0003855925008535641,0.0002166035481197216,2.492454890832375e-10,1.1515587099490533e-09,7.396818791053322e-08,7.195331232645175e-06,4.228470963203277e-12,3.724922929272825e-24,1.6225773606895067e-05,5.062532019161126e-11,7.443621995281558e-08,3.6931291471118527e-07,2.511587123891777e-05,5.808986968435113e-07,2.640455818053718e-09,5.8934761378021145e-06,1.2983010513179591e-29,4.066799799088187e-08,2.5198693060505057e-07,8.629021647442794e-05,1.7285288198009362e-06,0.0001765641303315786,1.4859979497233269e-05,1.5933587206841301e-09
0.4936015564176981,0.00021256797145565142,0.00023036169193376256,0.00022665423906286614,0.0004067879583853137,0.00019211107729880778,0.00011295996579785472,0.0004096532197008749,0.00020138952092775114,0.0002123618230670261,0.0002525991366005472,0.0004660703838001442,0.00026185067123341704,0.00023089410802041392,0.0004166083026447153,0.00012885545675215472,0.00021645462012210946,0.00028505262578237594,0.0006290216349233271,0.0003118462608144365,0.0007016103664204769,0.00039996708075094644,0.00022216122662627988,1.1708355676256932e-09,4.9603383178785764e-09,2.2229182343460152e-07,1.3618741380031353e-05,2.829301548004808e-11,1.1309636133126001e-22,2.841552015817105e-05,2.8526608925714057e-10,2.236654523758479e-07,9.573367295261153e-07,4.150205366416551e-05,1.5194936986941497e-06,1.1263753032263998e-08,1.1507753977918035e-05,8.710911710556772e-28,1.3256594560159873e-07,6.903336207289837e-07,0.00012771969249809016,3.822410120877336e-06,0.0002460755230267888,2.641477416539856e-05,7.252957791467202e-09
0.5433772513096108,0.00022192193350466778,0.00023570393887636628,0.00023721109032425123,0.0004191233355143323,0.00020098073434022894,0.00011945901922752824,0.00043264519964282826,0.00021089284847771123,0.0002248301723591217,0.00026829215536729905,0.0004870231923792575,0.00028197610602593854,0.00024187958756003423,0.00043642703150243865,0.00013428658740976515,0.0002292901230789801,0.0002947344633835319,0.0006683505031920317,0.0003330518747058288,0.0007604142352551544,0.0004247461166010087,0.00023283839678596516,5.028284756631233e-09,1.953741465181101e-08,6.198406236985226e-07,2.4564028638275386e-05,1.703791532625809e-10,3.0060190420938016e-21,4.762578042109104e-05,1.4531203480234577e-09,6.235857762322016e-07,2.3175002821913683e-06,6.610271854735894e-05,3.6890355121690905e-06,4.3708764717742806e-08,2.1347707883037663e-05,4.9891154816854337e-26,3.9850383150313085e-07,1.7582597106228006e-06,0.00018369676919856748,7.963075652067665e-06,0.00033461867330284546,4.4864699064987276e-05,2.989594791211769e-08
0.5981724194381032,0.0002342772690616746,0.00024073645222542006,0.0002479363542295015,0.0004370538601228406,0.0002126907213821689,0.00012716382519959105,0.00046160556769839456,0.0002228524039293323,0.00024257498947176075,0.0002851187984775661,0.0005156812122712867,0.0003116560930047588,0.0002532488917414,0.0004569409918675634,0.0001403704006206095,0.00024590895117125567,0.0003056910377934583,0.0007072900169928974,0.00035779000170101566,0.0008296611259484936,0.0004605257459200502,0.0002471550320586474,1.9749678645429257e-08,7.039503973037697e-08,1.6045692916887781e-06,4.2267529673436934e-05,9.237138157399261e-10,6.994995502218133e-20,7.648747441501583e-05,6.694034413113096e-09,1.6140607294034014e-06,5.242463105560117e-06,0.0001015849585754954,8.31933729575034e-06,1.5436981001687655e-07,3.766510433028492e-05,2.4394093577794503e-24,1.1053691355686975e-06,4.166149169526453e-06,0.00025703165327828895,1.5640522196829936e-05,0.00044460277946497666,7.289976069884167e-05,1.116441714443974e-07
0.6584932337783082,0.00024592070332183844,0.00024380858650367387,0.0002610446388761909,0.0004580180225489396,0.00022370659957819436,0.0001340346026992692,0.0004954677711953233,0.00023679785105042156,0.0002614509192595787,0.0003090696540025404,0.0005556194686158542,0.00033854209854383016,0.00026807581665021723,0.0004837058052002289,0.0001508313448343127,0.00026509190360168107,0.00032299942663023697,0.0007516398166394562,0.0003857264983726641,0.0009044071470777448,0.0005002220312713477,0.00025903162299316076,7.097491217446943e-08,2.3214448015791925e-07,3.858752851271459e-06,6.947127478329139e-05,4.510342108093809e-09,1.425224165330599e-18,0.00011787073414340451,2.7900028844140188e-08,3.8811258662805725e-06,1.1090159106704639e-05,0.0001507935751549681,1.7443844746783787e-05,4.96517691189237e-07,6.328872395993851e-05,1.0183141388581756e-22,2.8311084029745564e-06,9.19077581182484e-06,0.0003503024625939439,2.8991242099016006e-05,0.0005780463742474088,0.00011348215479443208,3.7797369170053064e-07
0.7248969107253906,0.0002573666431804745,0.00025060790864333464,0.00027858769302013505,0.00048614411242729934,0.00023457554931219328,0.00014174910395130662,0.0005333499378722022,0.0002524842905959704,0.00028333948814534274,0.0003380716120639505,0.0006032348895750695,0.0003665391110533332,0.0002856462695395533,0.0005153948029928292,0.00016322202013914177,0.0002869436886111666,0.0003467377289073364,0.0008067992991041799,0.0004158631007477891,0.0009920958119268878,0.0005425534794357643,0.00027392900084863677,2.3349432939218133e-07,7.01098822056843e-07,8.6275589667376e-06,0.00010922637488728396,1.9844042290403174e-08,2.5429279503702242e-17,0.00017457474381582538,1.052648385910792e-07,8.67663856625746e-06,2.1959145530321336e-05,0.00021647981599204281,3.404672916236796e-05,1.4554880749028603e-06,0.00010143344102833545,3.6295764506431004e-21,6.700973140973782e-06,1.8894601829699742e-05,0.00046562192155993903,5.0773859305310715e-05,0.0007364401808143971,0.0001695172091844324,1.1609646121811602e-06
0.7979968574075348,0.00027194538281412724,0.00026750934491621313,0.00030231815435084974,0.0005255761333193887,0.0002484574361505267,0.00015283680431441222,0.0005758298208549224,0.00027015679233579145,0.00031105163659487064,0.00036875475517021423,0.0006543771537495731,0.0004032268232141779,0.00030540632759615895,0.0005510064956290723,0.00017435554196406207,0.00031193757683209693,0.0003758779249510806,0.0008770982234456985,0.0004485757444136288,0.0011013760044934354,0.0005895347829595128,0.0002987877345383188,7.036188039869025e-07,1.9405213883959265e-06,1.795108589424753e-05,0.00016455017781330587,7.871074935822314e-08,3.973784364102177e-16,0.00024894277939829963,3.597494320637849e-07,1.805132638221985e-05,4.0741181602278125e-05,0.00030097403135966933,6.194405927941806e-05,3.892001385638409e-06,0.000155337370000544,1.1047294287133662e-19,1.4671711428689437e-05,3.6238802848161895e-05,0.0006044303307709873,8.414012604633832e-05,0.0009206285935117912,0.00024343337120187158,3.2382232881760507e-06
0.8784683380635029,0.0002956649474383248,0.0002923430800108796,0.00033349811522237737,0.0005706753718392794,0.0002707679472991606,0.00016706599073427992,0.0006279868647129436,0.0002913541688229161,0.00034134946341829887,0.0004057932098258832,0.0007138342354715355,0.0004435195787346352,0.00033309766477489304,0.0006010798136749231,0.00018796070332833775,0.00033976834514541117,0.0004134042854302221,0.0009647988276467986,0.0004897726717884005,0.001226611907204743,0.0006448354028391323,0.000328124691106847,1.9435761949186993e-06,4.926655453752871e-06,3.4797459842997806e-05,0.0002379779531430692,2.8164469332320157e-07,5.4396246920547844e-15,0.0003424797475970473,1.1145161531167136e-06,3.498806388230331e-05,7.091744355422124e-05,0.0004058580494265949,0.0001052363189602495,9.5038330511309e-06,0.000227766493058819,2.8717028643996533e-18,2.975109787552193e-05,6.492929964553929e-05,0.0007673456441659441,0.00013217127192258053,0.0011307112898513666,0.0003367529402023849,8.211250931352201e-06
