Di (um),T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-A,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0.013186973,0.026838896,0.015609534,0.022166238,0.015610782,0.017431848,0.022101198,0.012813916,0.02555198,0.019223473,0.02592349,0.031939316,0.019161819,0.016372103,0.024953013,0.014971087,0.007436685,0.02144492,0.017745215,0.01493354,0.025768868,0.013099614,0.014505429
300,0.301574215,0.435504711,0.337778886,0.406674334,0.320029861,0.295608168,0.383317797,0.251843685,0.325953565,0.292013875,0.320714755,0.401396196,0.240878094,0.241840609,0.36446465,0.273754157,0.214502492,0.290050048,0.338979307,0.332584641,0.342856339,0.387876383,0.348717421
850,0.092504139,0.10364864,0.082644749,0.101557223,0.089136946,0.09318978,0.09663362,0.082137558,0.085691613,0.087885994,0.079580036,0.089323061,0.071660651,0.07041934,0.09329602,0.071476368,0.06781913,0.075055104,0.094582759,0.092598131,0.097953594,0.103522266,0.102648686
1000,0.592734673,0.434007753,0.563966831,0.469602205,0.575222412,0.593770205,0.497947385,0.65320484,0.562802842,0.600876658,0.573781718,0.477341427,0.668299435,0.671367947,0.517286317,0.639798388,0.710241692,0.613449929,0.548692718,0.559883688,0.5334212,0.495501737,0.534128464
5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
