Di (um),#3,#4,#5,#6,#7,#8,#9,#10
100,0,0,0,0,0,0,0,0
500,0.045201982,0.422950819,0.239130435,0.181985294,0.367758186,0.352699716,0.000978473,0.140350877
700,0.060219252,0.272131148,0.246803069,0.198529411,0.35768262,0.272813388,0.188845402,0.14619883
1000,0.07178255,0.150819671,0.180306905,0.182444853,0.108312343,0.167666561,0.202054794,0.134502924
1400,0.100240276,0.101639345,0.130434782,0.162224265,0.118387909,0.09314809,0.231409003,0.173489279
2000,0.101516744,0.042622952,0.088235295,0.109834559,0.022670026,0.043890117,0.007338552,0.085769981
2800,0.106998048,0.009836066,0.115089514,0.0703125,0.025188917,0.020208399,0.192759295,0.150097466
4000,0.121414627,0,0,0.048253676,0,0.018945374,0.076810176,0.111111111
5600,0.131701457,0,0,0.046415441,0,0.030628355,0.050880626,0.058479532
8000,0.077038594,0,0,0,0,0,0.04892368,0
11200,0.18388647,0,0,0,0,0,0,0
12700,0,0,0,0,0,0,0,0
