sample,T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-A,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
0.37,0.001575856,0.001507546,0.001448131,0.001550765,0.001463621,0.001416375,0.001580458,0.001672066,0.001737675,0.001742222,0.001415271,0.00191617,0.001937261,0.001771446,0.001768156,0.001797804,0.001600156,0.001523743,0.001493304,0.001597908,0.00151161,0.001571525,0.001448918
0.44,0.001662799,0.001601767,0.001524785,0.001648156,0.001562169,0.001495336,0.001687911,0.001771321,0.001851156,0.001849286,0.001493097,0.002042555,0.002067597,0.001890037,0.001875783,0.001915638,0.001667531,0.001611072,0.001562963,0.001672177,0.001602471,0.001650364,0.001525988
0.52,0.001798649,0.001753569,0.001640801,0.001801734,0.001715466,0.001623649,0.001867,0.001924022,0.002028469,0.002014749,0.001619923,0.002246403,0.002280873,0.002079041,0.002052599,0.002097438,0.001761856,0.001746583,0.00166745,0.001789207,0.001742894,0.001768623,0.001653154
0.61,0.00199699,0.001978654,0.001812754,0.002033974,0.001945412,0.001801313,0.002135633,0.002147982,0.002283801,0.00226132,0.001804399,0.002544021,0.002588939,0.002356987,0.002298603,0.002370139,0.001903344,0.001942321,0.001815475,0.001955749,0.001957658,0.001939441,0.001838122
0.72,0.002271406,0.002282257,0.002044786,0.002352368,0.002259305,0.002077679,0.002511719,0.002458472,0.002659707,0.002601978,0.002063817,0.00294764,0.003015492,0.002734995,0.002659922,0.002747207,0.002095363,0.002210331,0.00201792,0.002183057,0.002255024,0.002178586,0.002096307
0.85,0.002651785,0.002706254,0.002376261,0.002794374,0.002679047,0.002457681,0.003013167,0.002886032,0.00317037,0.003065922,0.00242412,0.003473567,0.003548683,0.003239004,0.003144243,0.003252208,0.002395181,0.002571693,0.002318322,0.002513892,0.002659772,0.002520222,0.00246239
1.01,0.003295712,0.003371039,0.002945984,0.00349484,0.003346984,0.003089375,0.003756386,0.003580818,0.003964736,0.003818614,0.00302943,0.004293035,0.004366243,0.004024667,0.003913007,0.004043376,0.0029645,0.00316794,0.002862529,0.003105793,0.003312325,0.003124655,0.00306739
1.19,0.004605302,0.004700611,0.004108218,0.004858315,0.004675558,0.004298475,0.005171186,0.004975479,0.005489634,0.005304532,0.004222754,0.005919741,0.006013211,0.005581168,0.005419783,0.005612247,0.004130088,0.004381514,0.003983595,0.00430985,0.00458852,0.004344033,0.004273537
1.4,0.006732708,0.006899115,0.005964478,0.007072088,0.006872815,0.006203425,0.007490385,0.007215081,0.007950749,0.007715093,0.006139567,0.008602378,0.008714713,0.008123453,0.007826013,0.008184386,0.005935738,0.006359971,0.005742473,0.00618908,0.00664943,0.006265078,0.006188729
1.65,0.008433545,0.008668387,0.007414681,0.00884011,0.008664929,0.007713567,0.009321567,0.008960952,0.009943756,0.009609801,0.007652841,0.010685703,0.010758613,0.010106139,0.009655671,0.010217858,0.007300082,0.007880702,0.007063807,0.007606942,0.008264292,0.007720973,0.00769545
1.95,0.00983823,0.010118353,0.008597633,0.010300976,0.0101687,0.008922667,0.010758754,0.010350523,0.011497025,0.011092474,0.008872107,0.01232464,0.012328564,0.011670051,0.011062508,0.011790095,0.008378082,0.009082231,0.008117392,0.008732229,0.009540487,0.008869395,0.008913157
2.3,0.011150538,0.011557849,0.009714289,0.011750604,0.011712619,0.010107092,0.012182509,0.011638294,0.013007738,0.012490794,0.010059666,0.013837191,0.013821499,0.013185787,0.012407844,0.013274798,0.009311225,0.010247623,0.009096965,0.009744987,0.010824942,0.009902187,0.010084623
