sample,T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
0.37,0.001419303,0.001461495,0.001487133,0.0017039,0.001667222,0.0016153,0.002453486,0.001769372,0.00180072,0.001627051,0.002557303,0.003062975,0.002133851,0.001938326,0.001916188,0.001679328,0.001437815,0.002462821,0.001814059,0.003403566,0.001946889,0.001705838
0.44,0.001419303,0.001517707,0.001551791,0.001767007,0.001667222,0.001679912,0.002555715,0.001830384,0.001934107,0.001768534,0.002746732,0.003308013,0.002230844,0.002026432,0.0019995,0.001839264,0.001540516,0.002557545,0.001878847,0.003727715,0.00210264,0.001800607
0.52,0.001486888,0.001573918,0.001681107,0.001830115,0.001750584,0.001809136,0.002760172,0.00195241,0.002067494,0.001980758,0.002936162,0.003553051,0.00242483,0.002202643,0.002166125,0.0019992,0.001643217,0.002841716,0.00207321,0.004213938,0.002258391,0.001895375
0.61,0.00162206,0.001630129,0.001810423,0.00195633,0.001917306,0.002002972,0.003066857,0.002135448,0.002334267,0.002192982,0.003220307,0.004165646,0.002618817,0.002378855,0.00233275,0.002239104,0.001745918,0.003125888,0.002332362,0.004862237,0.002569893,0.002084913
0.72,0.001757232,0.001686341,0.002004397,0.002145652,0.002084028,0.002196808,0.003475772,0.0023795,0.002667734,0.002546689,0.003693881,0.004778241,0.002909796,0.002643172,0.002666,0.002558976,0.00195132,0.003504784,0.002656301,0.005672609,0.002959271,0.00227445
0.85,0.001959989,0.001911186,0.002327687,0.002461189,0.002334111,0.002519868,0.003986915,0.002684564,0.003134587,0.002971138,0.004262171,0.005635874,0.003297769,0.002995595,0.00299925,0.002958816,0.002259423,0.004073127,0.003045028,0.006807131,0.003426524,0.002653525
1.01,0.00243309,0.002360877,0.002909608,0.002966048,0.002917639,0.003101376,0.004906972,0.003233679,0.003801521,0.003678551,0.00520932,0.006861063,0.004073715,0.003700441,0.00366575,0.003598561,0.002772928,0.005020366,0.003757694,0.008427877,0.00420528,0.003222138
1.19,0.003311706,0.00331647,0.004073451,0.004165089,0.004001334,0.004329004,0.006849315,0.004453935,0.005268774,0.005022637,0.007198333,0.009556481,0.005528613,0.005022026,0.005082063,0.005037985,0.003697237,0.006914843,0.005183026,0.011507293,0.005840667,0.004454132
1.4,0.004731008,0.004777965,0.00601319,0.006058311,0.005668556,0.006202752,0.009916173,0.006345333,0.007669735,0.007286361,0.01041864,0.013844646,0.007953443,0.00722467,0.007248188,0.007277089,0.005340454,0.010135455,0.007450599,0.016693679,0.008488435,0.006349507
1.65,0.005744796,0.005902192,0.007564981,0.007509782,0.006918973,0.007688829,0.01226743,0.007748627,0.009537148,0.009054895,0.012881228,0.017275178,0.009699321,0.008722467,0.008914438,0.009036385,0.006470165,0.012503552,0.009264658,0.020745543,0.0105132,0.00767627
1.95,0.00648824,0.006913997,0.00885814,0.00877193,0.007919306,0.008851845,0.014209773,0.008846858,0.011004402,0.010469723,0.014870241,0.019970595,0.010960233,0.009955947,0.010080813,0.010395842,0.007291774,0.014587478,0.010625202,0.023987034,0.012148587,0.008718726
2.3,0.007164098,0.007757167,0.0101513,0.009907863,0.008752918,0.009950249,0.016152116,0.009823063,0.012404962,0.01188455,0.016764539,0.022543494,0.012124151,0.011013216,0.011163876,0.01167533,0.008216083,0.016576679,0.011985747,0.027066451,0.013706098,0.009666414
