season,start,end
spring,2023-04-17 18:32:00,2023-04-19 12:13:00
spring,2023-04-19 12:17:00,2023-04-20 04:42:00
spring,2023-04-20 05:02:00,2023-04-20 05:57:00
spring,2023-04-20 06:00:00,2023-04-20 13:14:00
spring,2023-04-20 13:15:00,2023-04-20 17:24:00
spring,2023-04-20 17:37:00,2023-04-20 19:05:00
spring,2023-04-20 19:24:00,2023-04-20 19:33:00
spring,2023-04-20 19:58:00,2023-04-20 20:55:00
spring,2023-04-20 21:15:00,2023-04-20 22:01:00
spring,2023-04-20 22:20:00,2023-04-21 00:06:00
spring,2023-04-21 00:49:00,2023-04-21 01:10:00
spring,2023-04-21 02:27:00,2023-04-21 03:43:00
spring,2023-04-21 05:04:00,2023-04-21 05:26:00
spring,2023-04-21 06:27:00,2023-04-21 07:02:00
spring,2023-04-21 07:25:00,2023-04-21 08:40:00
spring,2023-04-21 10:22:00,2023-04-21 10:40:00
spring,2023-04-21 11:27:00,2023-04-21 11:30:00
spring,2023-04-21 11:56:00,2023-04-21 12:06:00
spring,2023-04-21 12:28:00,2023-04-21 12:30:00
spring,2023-04-21 12:58:00,2023-04-21 13:01:00
spring,2023-04-21 13:29:00,2023-04-21 13:30:00
spring,2023-04-21 13:53:00,2023-04-21 14:12:00
spring,2023-04-21 14:31:00,2023-04-21 15:29:00
spring,2023-04-21 15:31:00,2023-04-21 16:40:00
spring,2023-04-21 17:00:00,2023-04-21 17:40:00
spring,2023-04-21 18:32:00,2023-04-21 19:44:00
spring,2023-04-21 20:18:00,2023-04-21 20:38:00
spring,2023-04-21 20:49:00,2023-04-21 21:10:00
spring,2023-04-21 23:29:00,2023-04-21 23:30:00
spring,2023-04-22 00:19:00,2023-04-22 00:35:00
spring,2023-04-22 01:27:00,2023-04-22 01:32:00
spring,2023-04-22 03:29:00,2023-04-22 03:30:00
spring,2023-04-22 04:00:00,2023-04-22 04:23:00
spring,2023-04-22 07:11:00,2023-04-22 07:33:00
spring,2023-04-22 07:59:00,2023-04-22 08:00:00
spring,2023-04-22 08:49:00,2023-04-22 09:24:00
spring,2023-04-22 12:29:00,2023-04-22 12:30:00
spring,2023-04-22 12:56:00,2023-04-22 13:12:00
spring,2023-04-22 14:08:00,2023-04-22 14:23:00
spring,2023-04-22 15:12:00,2023-04-22 15:59:00
spring,2023-04-22 16:00:00,2023-04-22 16:38:00
spring,2023-04-22 16:52:00,2023-04-22 18:01:00
spring,2023-04-22 18:47:00,2023-04-22 19:27:00
spring,2023-04-22 20:26:00,2023-04-22 20:56:00
spring,2023-04-22 21:20:00,2023-04-22 21:34:00
spring,2023-04-22 22:58:00,2023-04-22 23:00:00
spring,2023-04-22 23:51:00,2023-04-23 00:12:00
spring,2023-04-23 01:03:00,2023-04-23 01:16:00
spring,2023-04-23 02:54:00,2023-04-23 03:04:00
spring,2023-04-23 04:28:00,2023-04-23 04:47:00
spring,2023-04-23 06:34:00,2023-04-23 06:53:00
spring,2023-04-23 07:39:00,2023-04-23 07:52:00
spring,2023-04-23 10:09:00,2023-04-23 10:21:00
spring,2023-04-23 12:46:00,2023-04-23 14:23:00
spring,2023-04-23 14:42:00,2023-04-23 15:07:00
spring,2023-04-23 15:18:00,2023-04-23 16:29:00
spring,2023-04-23 16:30:00,2023-04-23 18:09:00
spring,2023-04-23 18:22:00,2023-04-23 19:27:00
spring,2023-04-23 21:41:00,2023-04-23 21:51:00
spring,2023-04-24 00:54:00,2023-04-24 01:05:00
spring,2023-04-24 01:44:00,2023-04-24 01:45:00
spring,2023-04-24 02:35:00,2023-04-24 02:52:00
spring,2023-04-24 03:43:00,2023-04-24 03:46:00
spring,2023-04-24 04:48:00,2023-04-24 04:49:00
spring,2023-04-24 10:36:00,2023-04-24 10:58:00
spring,2023-04-24 11:22:00,2023-04-24 11:34:00
spring,2023-04-24 12:45:00,2023-04-24 13:12:00
spring,2023-04-24 13:17:00,2023-04-24 14:04:00
spring,2023-04-24 14:20:00,2023-04-24 20:57:00
spring,2023-04-24 21:16:00,2023-04-24 21:40:00
spring,2023-04-24 22:18:00,2023-04-24 23:19:00
spring,2023-04-25 01:02:00,2023-04-25 01:47:00
spring,2023-04-25 02:04:00,2023-04-25 02:25:00
spring,2023-04-25 02:44:00,2023-04-25 02:45:00
spring,2023-04-25 03:52:00,2023-04-25 04:05:00
