season,start,end
spring,2023-04-29 21:45:00,2023-04-29 22:00:00
spring,2023-04-29 23:45:00,2023-04-30 00:30:00
spring,2023-04-30 00:45:00,2023-04-30 01:15:00
spring,2023-04-30 01:30:00,2023-04-30 01:45:00
spring,2023-04-30 02:00:00,2023-04-30 02:15:00
spring,2023-04-30 02:30:00,2023-04-30 03:30:00
spring,2023-04-30 04:30:00,2023-04-30 04:45:00
spring,2023-04-30 05:30:00,2023-04-30 06:00:00
spring,2023-04-30 06:30:00,2023-04-30 06:45:00
spring,2023-04-30 08:15:00,2023-04-30 08:30:00
spring,2023-04-30 09:00:00,2023-04-30 09:15:00
spring,2023-04-30 09:30:00,2023-04-30 09:45:00
spring,2023-04-30 13:00:00,2023-05-01 02:30:00
spring,2023-05-01 02:45:00,2023-05-01 06:30:00
spring,2023-05-01 07:45:00,2023-05-01 08:30:00
spring,2023-05-01 08:45:00,2023-05-01 09:15:00
spring,2023-05-01 09:45:00,2023-05-02 04:15:00
spring,2023-05-02 04:30:00,2023-05-02 06:30:00
spring,2023-05-02 06:45:00,2023-05-02 07:00:00
spring,2023-05-02 07:15:00,2023-05-02 07:30:00
spring,2023-05-02 09:00:00,2023-05-02 10:00:00
spring,2023-05-02 11:00:00,2023-05-02 11:15:00
spring,2023-05-02 13:30:00,2023-05-02 13:45:00
spring,2023-05-02 14:15:00,2023-05-02 14:30:00
spring,2023-05-02 14:45:00,2023-05-02 15:30:00
spring,2023-05-02 16:00:00,2023-05-02 16:30:00
spring,2023-05-02 16:45:00,2023-05-02 17:15:00
spring,2023-05-02 17:30:00,2023-05-02 21:15:00
spring,2023-05-02 21:45:00,2023-05-02 22:45:00
spring,2023-05-02 23:45:00,2023-05-03 00:00:00
spring,2023-05-03 00:15:00,2023-05-03 00:30:00
spring,2023-05-03 01:00:00,2023-05-03 01:15:00
spring,2023-05-03 01:30:00,2023-05-03 02:00:00
spring,2023-05-03 04:00:00,2023-05-03 04:15:00
spring,2023-05-03 05:30:00,2023-05-03 05:45:00
spring,2023-05-03 07:15:00,2023-05-03 08:00:00
spring,2023-05-03 08:15:00,2023-05-03 08:30:00
spring,2023-05-03 10:00:00,2023-05-03 10:15:00
spring,2023-05-03 10:30:00,2023-05-03 10:45:00
spring,2023-05-03 11:00:00,2023-05-03 11:15:00
spring,2023-05-03 11:30:00,2023-05-03 11:45:00
spring,2023-05-03 12:15:00,2023-05-03 12:45:00
spring,2023-05-03 13:15:00,2023-05-03 13:30:00
spring,2023-05-03 13:45:00,2023-05-03 14:00:00
spring,2023-05-03 14:15:00,2023-05-04 04:00:00
spring,2023-05-04 04:15:00,2023-05-04 05:15:00
spring,2023-05-04 05:30:00,2023-05-04 06:00:00
spring,2023-05-04 06:45:00,2023-05-04 07:00:00
spring,2023-05-04 08:30:00,2023-05-04 08:45:00
spring,2023-05-04 10:00:00,2023-05-04 10:15:00
spring,2023-05-04 11:45:00,2023-05-04 12:00:00
spring,2023-05-04 13:30:00,2023-05-04 13:45:00
spring,2023-05-04 14:00:00,2023-05-04 14:30:00
spring,2023-05-04 15:00:00,2023-05-04 15:15:00
spring,2023-05-04 15:30:00,2023-05-04 20:30:00
spring,2023-05-04 20:45:00,2023-05-04 22:00:00
