Date_Time,P2C,P3C,P4C,P4C original,P6C,P6C original
3/1/2023 0:00,2723.184322,,2733.04,2733.041248,2737.32,2737.320086
3/1/2023 0:15,2723.186071,,2733.04,2733.042998,2737.32,2737.321835
3/1/2023 0:30,2723.187831,,2733.05,2733.047666,2737.32,2737.324754
3/1/2023 0:45,2723.187831,,2733.04,2733.044167,2737.33,2737.326504
3/1/2023 1:00,2723.186081,,2733.04,2733.044167,2737.33,2737.326504
3/1/2023 1:15,2723.187821,,2733.05,2733.046496,2737.33,2737.325334
3/1/2023 1:30,2723.18899,,2733.05,2733.047666,2737.33,2737.326504
3/1/2023 1:45,2723.18899,,2733.05,2733.049415,2737.33,2737.328253
3/1/2023 2:00,2723.192489,,2733.05,2733.051165,2737.33,2737.328253
3/1/2023 2:15,2723.18958,,2733.05,2733.051165,2737.33,2737.328253
3/1/2023 2:30,2723.19074,,2733.05,2733.049415,2737.33,2737.331752
3/1/2023 2:45,2723.18899,,2733.05,2733.048826,2737.33,2737.328253
3/1/2023 3:00,2723.19074,,2733.05,2733.049405,2737.33,2737.328253
3/1/2023 3:15,2723.19074,,2733.05,2733.050575,2737.33,2737.331162
3/1/2023 3:30,2723.192489,,2733.05,2733.049405,2737.33,2737.332911
3/1/2023 3:45,2723.18957,,2733.05,2733.049405,2737.33,2737.330002
3/1/2023 4:00,2723.19074,,2733.05,2733.052324,2737.33,2737.334671
3/1/2023 4:15,2723.193659,,2733.05,2733.052324,2737.33,2737.334081
3/1/2023 4:30,2723.19016,,2733.05,2733.051745,2737.33,2737.334091
3/1/2023 4:45,2723.19016,,2733.05,2733.051745,2737.33,2737.332342
3/1/2023 5:00,2723.191909,,2733.05,2733.051745,2737.33,2737.330592
3/1/2023 5:15,2723.191909,,2733.05,2733.049995,2737.33,2737.330592
3/1/2023 5:30,2723.191899,,2733.05,2733.049405,2737.33,2737.330002
3/1/2023 5:45,2723.193649,,2733.05,2733.052904,2737.33,2737.333501
3/1/2023 6:00,2723.195398,,2733.05,2733.052904,2737.34,2737.335251
3/1/2023 6:15,2723.193069,,2733.05,2733.051155,2737.34,2737.335251
3/1/2023 6:30,2723.191899,,2733.05,2733.051155,2737.33,2737.333501
3/1/2023 6:45,2723.191899,,2733.05,2733.051155,2737.34,2737.335251
3/1/2023 7:00,2723.191899,,2733.05,2733.052904,2737.34,2737.337
3/1/2023 7:15,2723.191899,,2733.05,2733.051745,2737.34,2737.337
3/1/2023 7:30,2723.194818,,2733.05,2733.052914,2737.34,2737.339919
3/1/2023 7:45,2723.193069,,2733.05,2733.051165,2737.34,2737.341668
3/1/2023 8:00,2723.194818,,2733.05,2733.051165,2737.34,2737.343418
3/1/2023 8:15,2723.191899,,2733.05,2733.049995,2737.35,2737.346907
