Date_Time,P2C,P3C,P4C,P6C
3/1/2022 20:15,2723.120,2724.137147,2733.033262,2737.305369
3/1/2022 20:30,2723.121,2724.137136,2733.033507,2737.305826
3/1/2022 20:45,2723.121,2724.137159,2733.033641,2737.306361
3/1/2022 21:00,2723.121,2724.137147,2733.033714,2737.30672
3/1/2022 21:15,2723.121,2724.137016,2733.033695,2737.306977
3/1/2022 21:30,2723.121,2724.13714,2733.033756,2737.307451
3/1/2022 21:45,2723.121,2724.137091,2733.033716,2737.307703
3/1/2022 22:00,2723.121,2724.136973,2733.033666,2737.307773
3/1/2022 22:15,2723.121,2724.13694,2733.03371,2737.307872
3/1/2022 22:30,2723.121,2724.136892,2733.033745,2737.308086
3/1/2022 22:45,2723.121,2724.136856,2733.033899,2737.30831
3/1/2022 23:00,2723.121,2724.136971,2733.034037,2737.308575
3/1/2022 23:15,2723.122,2724.137024,2733.034166,2737.308807
3/1/2022 23:30,2723.122,2724.137196,2733.034367,2737.309182
3/1/2022 23:45,2723.122,2724.137325,2733.034638,2737.309545
3/2/2022 0:00,2723.122,2724.137359,2733.034892,2737.309978
3/2/2022 0:15,2723.122,2724.137475,2733.035103,2737.310272
3/2/2022 0:30,2723.123,2724.137535,2733.035131,2737.310559
3/2/2022 0:45,2723.123,2724.137625,2733.035166,2737.310952
3/2/2022 1:00,2723.123,2724.137776,2733.035091,2737.311332
3/2/2022 1:15,2723.123,2724.13793,2733.035129,2737.311435
3/2/2022 1:30,2723.123,2724.138034,2733.035097,2737.31173
3/2/2022 1:45,2723.123,2724.137954,2733.035016,2737.311686
3/2/2022 2:00,2723.123,2724.137887,2733.034938,2737.311834
3/2/2022 2:15,2723.123,2724.137913,2733.034902,2737.311974
3/2/2022 2:30,2723.122,2724.137688,2733.034846,2737.312039
3/2/2022 2:45,2723.122,2724.137614,2733.034762,2737.312072
3/2/2022 3:00,2723.122,2724.137488,2733.034895,2737.312222
3/2/2022 3:15,2723.122,2724.137419,2733.034953,2737.312242
3/2/2022 3:30,2723.122,2724.137267,2733.035008,2737.31234
3/2/2022 3:45,2723.122,2724.137221,2733.035233,2737.31232
3/2/2022 4:00,2723.123,2724.137253,2733.035613,2737.312475
3/2/2022 4:15,2723.123,2724.137087,2733.035832,2737.312428
3/2/2022 4:30,2723.124,2724.136801,2733.036117,2737.312263
3/2/2022 4:45,2723.124,2724.136633,2733.03641,2737.312116
3/2/2022 5:00,2723.125,2724.136341,2733.036838,2737.311851
3/2/2022 5:15,2723.126,2724.136176,2733.037286,2737.311766
3/2/2022 5:30,2723.128,2724.136044,2733.037901,2737.311688
3/2/2022 5:45,2723.130,2724.136179,2733.038982,2737.311743
3/2/2022 6:00,2723.132,2724.136453,2733.040678,2737.311916
3/2/2022 6:15,2723.134,2724.136835,2733.042271,2737.311937
3/2/2022 6:30,2723.136,2724.137111,2733.043451,2737.311781
3/2/2022 6:45,2723.138,2724.137455,2733.044518,2737.311872
3/2/2022 7:00,2723.139,2724.137651,2733.045259,2737.311849
3/2/2022 7:15,2723.140,2724.137743,2733.045588,2737.311614
3/2/2022 7:30,2723.140,2724.137851,2733.045577,2737.311127
3/2/2022 7:45,2723.140,2724.137885,2733.04543,2737.310438
3/2/2022 8:00,2723.140,2724.137925,2733.045084,2737.309534
3/2/2022 8:15,2723.140,2724.137862,2733.044534,2737.308503
3/2/2022 8:30,2723.139,2724.137688,2733.043772,2737.307253
3/2/2022 8:45,2723.138,2724.137474,2733.042927,2737.306106
3/2/2022 9:00,2723.136,2724.137088,2733.041807,2737.304615
3/2/2022 9:15,2723.134,2724.136715,2733.040665,2737.303318
3/2/2022 9:30,2723.132,2724.136283,2733.039244,2737.301738
3/2/2022 9:45,2723.130,2724.135862,2733.037837,2737.300215
3/2/2022 10:00,2723.129,2724.135536,2733.03641,2737.29861
3/2/2022 10:15,2723.126,2724.135118,2733.034916,2737.297038
3/2/2022 10:30,2723.124,2724.134784,2733.033713,2737.295474
3/2/2022 10:45,2723.122,2724.134306,2733.032552,2737.294031
3/2/2022 11:00,2723.120,2724.133841,2733.031401,2737.292587
3/2/2022 11:15,2723.118,2724.133418,2733.030389,2737.291251
3/2/2022 11:30,2723.117,2724.132963,2733.029424,2737.289939
3/2/2022 11:45,2723.116,2724.132609,2733.02883,2737.288983
3/2/2022 12:00,2723.115,2724.132628,2733.028561,2737.288271
3/2/2022 12:15,2723.114,2724.132664,2733.028651,2737.28789
3/2/2022 12:30,2723.115,2724.132829,2733.028883,2737.287742
3/2/2022 12:45,2723.115,2724.133099,2733.029475,2737.28767
3/2/2022 13:00,2723.115,2724.133799,2733.030543,2737.287903
3/2/2022 13:15,2723.116,2724.134516,2733.031607,2737.288262
3/2/2022 13:30,2723.116,2724.135168,2733.032132,2737.288676
3/2/2022 13:45,2723.117,2724.135695,2733.032382,2737.289203
3/2/2022 14:00,2723.117,2724.136324,2733.032759,2737.290008
3/2/2022 14:15,2723.117,2724.136804,2733.032911,2737.290364
3/2/2022 14:30,2723.117,2724.137288,2733.032945,2737.290625
3/2/2022 14:45,2723.117,2724.137674,2733.033041,2737.290953
3/2/2022 15:00,2723.117,2724.138141,2733.033162,2737.291233
3/2/2022 15:15,2723.117,2724.13859,2733.033175,2737.291639
3/2/2022 15:30,2723.117,2724.138759,2733.03319,2737.292059
3/2/2022 15:45,2723.117,2724.139099,2733.033136,2737.292513
3/2/2022 16:00,2723.117,2724.139326,2733.033008,2737.292993
3/2/2022 16:15,2723.117,2724.139421,2733.032828,2737.293511
3/2/2022 16:30,2723.117,2724.139651,2733.032747,2737.29411
3/2/2022 16:45,2723.117,2724.139785,2733.032583,2737.294493
3/2/2022 17:00,2723.117,2724.139901,2733.032608,2737.294996
3/2/2022 17:15,2723.118,2724.14004,2733.032601,2737.295455
3/2/2022 17:30,2723.118,2724.140144,2733.032641,2737.296008
3/2/2022 17:45,2723.118,2724.140234,2733.032957,2737.29659
3/2/2022 18:00,2723.118,2724.140157,2733.033095,2737.297111
3/2/2022 18:15,2723.118,2724.140195,2733.033209,2737.297615
3/2/2022 18:30,2723.118,2724.140342,2733.033508,2737.298297
3/2/2022 18:45,2723.118,2724.14048,2733.033842,2737.29907
3/2/2022 19:00,2723.119,2724.140603,2733.034259,2737.299894
3/2/2022 19:15,2723.119,2724.140588,2733.034518,2737.300622
3/2/2022 19:30,2723.119,2724.140656,2733.034702,2737.301249
3/2/2022 19:45,2723.119,2724.140785,2733.034886,2737.302021
3/2/2022 20:00,2723.120,2724.141089,2733.035206,2737.30257
3/2/2022 20:15,2723.120,2724.141477,2733.035613,2737.303342
3/2/2022 20:30,2723.120,2724.141563,2733.035944,2737.303881
3/2/2022 20:45,2723.120,2724.14162,2733.036139,2737.304401
3/2/2022 21:00,2723.121,2724.141753,2733.036253,2737.30467
3/2/2022 21:15,2723.121,2724.141867,2733.036405,2737.304962
3/2/2022 21:30,2723.121,2724.141836,2733.036347,2737.305034
3/2/2022 21:45,2723.121,2724.141833,2733.036316,2737.305178
3/2/2022 22:00,2723.121,2724.14179,2733.036464,2737.305413
3/2/2022 22:15,2723.121,2724.14175,2733.036483,2737.305551
3/2/2022 22:30,2723.121,2724.141576,2733.036465,2737.305667
3/2/2022 22:45,2723.121,2724.141385,2733.036498,2737.305675
3/2/2022 23:00,2723.122,2724.141359,2733.036415,2737.305749
3/2/2022 23:15,2723.122,2724.141189,2733.036361,2737.305773
3/2/2022 23:30,2723.122,2724.141019,2733.036405,2737.305915
3/2/2022 23:45,2723.122,2724.140994,2733.036364,2737.306057
