Date_Time,P2C,P3C,P4C,P6C
7/1/2021 0:00,2723.120794,2724.176515,2733.059974,2737.293645
7/1/2021 0:15,2723.120794,2724.176515,2733.059974,2737.293645
7/1/2021 0:30,2723.120794,2724.176515,2733.059974,2737.293645
7/1/2021 0:45,2723.120808,2724.176595,2733.060048,2737.293667
7/1/2021 1:00,2723.120823,2724.176675,2733.060121,2737.293689
7/1/2021 1:15,2723.120772,2724.176395,2733.059865,2737.293613
7/1/2021 1:30,2723.12072,2724.176115,2733.059609,2737.293538
7/1/2021 1:45,2723.120735,2724.176195,2733.059682,2737.293559
7/1/2021 2:00,2723.12075,2724.176275,2733.059755,2737.293581
7/1/2021 2:15,2723.120786,2724.176475,2733.059938,2737.293635
7/1/2021 2:30,2723.120823,2724.176675,2733.060121,2737.293689
7/1/2021 2:45,2723.120845,2724.176795,2733.060231,2737.293721
7/1/2021 3:00,2723.120867,2724.176915,2733.06034,2737.293753
7/1/2021 3:15,2723.12083,2724.176715,2733.060157,2737.293699
7/1/2021 3:30,2723.120794,2724.176515,2733.059974,2737.293645
7/1/2021 3:45,2723.12083,2724.176715,2733.060157,2737.293699
7/1/2021 4:00,2723.120867,2724.176915,2733.06034,2737.293753
7/1/2021 4:15,2723.120889,2724.177035,2733.06045,2737.293786
7/1/2021 4:30,2723.120911,2724.177155,2733.06056,2737.293818
7/1/2021 4:45,2723.120874,2724.176955,2733.060377,2737.293764
7/1/2021 5:00,2723.120838,2724.176755,2733.060194,2737.29371
7/1/2021 5:15,2723.120852,2724.176835,2733.060267,2737.293732
7/1/2021 5:30,2723.120867,2724.176915,2733.06034,2737.293753
7/1/2021 5:45,2723.120882,2724.176995,2733.060413,2737.293775
7/1/2021 6:00,2723.120896,2724.177075,2733.060487,2737.293796
7/1/2021 6:15,2723.120918,2724.177195,2733.060596,2737.293829
7/1/2021 6:30,2723.12094,2724.177315,2733.060706,2737.293861
7/1/2021 6:45,2723.12094,2724.177315,2733.060706,2737.293861
7/1/2021 7:00,2723.12094,2724.177315,2733.060706,2737.293861
7/1/2021 7:15,2723.120926,2724.177235,2733.060633,2737.29384
7/1/2021 7:30,2723.120911,2724.177155,2733.06056,2737.293818
7/1/2021 7:45,2723.120926,2724.177235,2733.060633,2737.29384
7/1/2021 8:00,2723.12094,2724.177315,2733.060706,2737.293861
7/1/2021 8:15,2723.12094,2724.177315,2733.060706,2737.293861
7/1/2021 8:30,2723.12094,2724.177315,2733.060706,2737.293861
7/1/2021 8:45,2723.120926,2724.177235,2733.060633,2737.29384
7/1/2021 9:00,2723.120911,2724.177155,2733.06056,2737.293818
7/1/2021 9:15,2723.120889,2724.177035,2733.06045,2737.293786
7/1/2021 9:30,2723.120867,2724.176915,2733.06034,2737.293753
7/1/2021 9:45,2723.120852,2724.176835,2733.060267,2737.293732
7/1/2021 10:00,2723.120838,2724.176755,2733.060194,2737.29371
7/1/2021 10:15,2723.12083,2724.176715,2733.060157,2737.293699
7/1/2021 10:30,2723.120823,2724.176675,2733.060121,2737.293689
7/1/2021 10:45,2723.120772,2724.176395,2733.059865,2737.293613
7/1/2021 11:00,2723.12072,2724.176115,2733.059609,2737.293538
7/1/2021 11:15,2723.120698,2724.175995,2733.059499,2737.293505
7/1/2021 11:30,2723.120676,2724.175875,2733.059389,2737.293473
7/1/2021 11:45,2723.120625,2724.175595,2733.059133,2737.293397
7/1/2021 12:00,2723.120574,2724.175315,2733.058877,2737.293322
7/1/2021 12:15,2723.120537,2724.175115,2733.058694,2737.293268
7/1/2021 12:30,2723.1205,2724.174915,2733.058511,2737.293214
7/1/2021 12:45,2723.120464,2724.174715,2733.058328,2737.29316
