Size,T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
87.89,5.042,4.682,3.879,4.134,4.652,3.87,0.971,3.49,2.541,2.738,0.919,0.49,2.861,3.348,2.916,2.879,4.242,0.862,2.864,0.292,2.399,3.241
103.72,3.933,3.682,2.787,2.859,3.476,2.798,0.695,2.581,1.681,1.96,0.549,0.245,1.901,2.432,2.141,2.063,3.369,0.568,1.976,0.146,1.612,2.568
122.39,3.183,3.052,2.03,2.019,2.651,2.074,0.552,2.026,1.16,1.521,0.332,0.123,1.183,1.824,1.641,1.511,2.814,0.407,1.399,0.065,1.129,2.132
144.43,2.474,2.501,1.403,1.382,1.917,1.473,0.44,1.562,0.76,1.16,0.189,0.049,0.669,1.33,1.241,1.104,2.352,0.294,0.946,0.032,0.763,1.876
170.44,1.892,2.057,0.912,0.921,1.317,1.021,0.348,1.226,0.48,0.905,0.095,0.012,0.33,0.996,0.975,0.824,2.177,0.199,0.622,0.016,0.491,1.829
201.13,1.413,1.681,0.556,0.555,0.842,0.672,0.276,0.958,0.287,0.7,0.047,0,0.126,0.678,0.733,0.584,2.033,0.133,0.382,0,0.296,1.886
237.35,1.129,1.523,0.356,0.347,0.575,0.478,0.266,0.836,0.187,0.623,0.019,0,0.048,0.537,0.658,0.48,1.982,0.104,0.253,0,0.202,2.104
280.09,1.088,1.546,0.252,0.24,0.475,0.394,0.419,0.891,0.153,0.736,0.019,0,0.019,0.564,0.791,0.504,1.931,0.123,0.207,0,0.187,2.36
330.52,1.108,1.546,0.175,0.164,0.4,0.33,0.624,0.958,0.127,0.877,0.009,0,0.01,0.599,0.991,0.552,1.787,0.142,0.175,0,0.171,2.521
390.04,0.96,1.27,0.103,0.095,0.275,0.226,0.48,0.811,0.087,0.757,0.009,0,0,0.467,0.891,0.464,1.489,0.104,0.13,0,0.109,2.388
460.27,0.703,0.888,0.058,0.05,0.158,0.149,0.153,0.537,0.047,0.46,0,0,0,0.256,0.533,0.288,1.222,0.038,0.084,0,0.055,2.132
TOTAL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
WEIGHT,11.3989,12.6114,16.5716,8.511,10.304,15.135,4.6359,19.3034,20.0314,14.8985,11.4881,16.9806,17.6498,8.8272,15.0569,12.7844,13.1127,9.672,12.4433,12.441,13.8108,13.623
COARSESAND,5.7880,5.9234,8.3878,3.0990,6.0135,10.0323,2.2790,11.6751,11.9563,8.0400,5.2263,11.6444,11.0572,3.4879,10.7902,7.6038,5.6504,3.2014,5.8483,5.2618,6.0824,7.8047
FINESAND,4.369,4.884,5.722,3.915,3.310,3.584,0.946,5.241,5.176,4.244,3.667,3.694,4.330,3.562,2.826,3.361,5.370,3.948,4.191,5.396,4.734,3.839
SILT,1.389,1.640,2.789,1.775,1.227,1.684,1.450,2.438,3.269,2.558,2.562,1.572,2.558,1.765,1.548,1.949,1.866,2.482,2.575,1.708,3.387,1.698
CLAY,0.2031,0.240,0.361,0.2477,0.1870,0.235,0.174,0.3635,0.4588,0.361,0.469,0.5336,0.392,0.280,0.2352,0.2781,0.297,0.470,0.3599,0.8784,0.490,0.2816
WEIGHTLISST,11.7490,12.6870,17.2588,9.0373,10.7376,15.5346,4.8495,19.7169,20.8607,15.2028,11.9248,17.4442,18.3376,9.0951,15.3987,13.1926,13.1844,10.1009,12.9736,13.2440,14.6932,13.6231
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
