distance,elevation
0,2737.94
0.1,2737.85
0.3,2737.59
0.5,2737.578
0.7,2737.56
0.9,2737.535
1,2737.545
1.2,2737.3
1.3,2737.205
1.4,2737.29
1.5,2737.255
1.6,2737.245
1.7,2737.245
1.8,2737.23
1.9,2737.265
2,2737.27
2.1,2737.22
2.2,2737.251
2.3,2737.405
2.4,2737.38
2.5,2737.442
2.6,2737.405
2.7,2737.4
2.8,2737.515
2.9,2737.655
3.1,2738.065
3.3,2738.085
