,AUC,AUC_normalized,Fraction_positive_time,Fraction_positive_weighted,Zero_crossings
T1,1.8388332920000001,0.20502670851567945,1.0,1.0,0
T2,-2.8385126,-0.31648920975609757,0.0,0.0,0
T3,-0.98668958,-0.11001416919860627,0.0,0.0,0
T5,0.5411536560000001,0.06033768986759583,1.0,1.0,0
T6,-0.3119194604,-0.034778476420905924,0.009523809523809521,0.0028438084649249334,2
T7,-1.5053216,-0.16784073588850174,0.0,0.0,0
T8,-0.29938814960000004,-0.033381257098257844,0.0,0.0,0
