,AUC,AUC_normalized,Fraction_positive_time,Fraction_positive_weighted,Zero_crossings,90th_percentile,10th_percentile,Percentile_difference
T1,-0.7273688520000001,-0.2555284573993658,0.19834105879482802,0.140224416271714,1,0.29435903999999996,-0.5506559999999999,0.8450150399999998
T2,-0.92861844,-0.32622848343498423,0.0,0.0,0,-0.24864768,-0.38466432,0.13601664
T3,-0.8526412800000001,-0.29953731232007813,0.0,0.0,0,-0.24624,-0.365472,0.11923200000000003
T5,0.254245796,0.08931786929495002,1.0,1.0,0,0.26456831999999997,0.023390208,0.24117811199999997
T6,-0.16422958000000001,-0.05769470485484266,0.09685289094901198,0.04858137699771737,2,0.031504896,-0.111456,0.142960896
T7,-0.351640144,-0.123533009846304,0.0,0.0,0,-0.039194496,-0.21750911999999997,0.17831462399999998
T8,-0.14879460560000002,-0.052272318141985866,0.09685289094901198,0.020664465914495285,2,0.010719359999999995,-0.09262079999999998,0.10334015999999997
