Probe,Avg HF (m/s),Avg HF (m/day)
T1,-2.968020929118774e-06,-0.2564370082758621
T2,-3.778616538952746e-06,-0.32647246896551724
T3,-3.4674549808429117e-06,-0.2995881103448276
T5,1.028768279054917e-06,0.08888557931034483
T6,-6.712630268199234e-07,-0.057997125517241385
T7,-1.4327870689655171e-06,-0.12379280275862069
T8,-6.070963090676883e-07,-0.052453121103448276
