CS,FS,S,C,flux,total
-0.3767,0.1705,0.1419,0.1806,-0.256,0.096
1.6421,0.9644,0.5220,0.4565,-0.256,0.825
-0.4290,0.0116,-0.2207,-0.2142,0.089,-0.253
-0.5870,0.0249,0.1500,-0.1209,0.089,-0.272
-0.8752,0.0369,0.1875,0.1924,-0.058,-0.360
-0.6542,0.2463,0.1485,0.0693,-0.124,-0.001
-0.6002,-0.1057,0.0924,0.3051,-0.124,-0.135
-0.3227,-0.0979,0.6887,0.7388,-0.052,0.162
