CS,FS,S,C,flux,total
-0.547618653,-0.151990565,-0.183567932,-0.19519361,0.205,-0.401
-0.353824286,-0.595220375,-0.63731644,-0.668043167,0.205,-0.484
0.554202488,0.434318638,0.451510863,0.498547104,-0.317,0.509
-0.041285813,0.849606455,0.867430831,0.924606504,-0.110,0.247
-0.371684697,-0.488791482,-0.535628898,-0.546476843,0.060,-0.427
0.038486491,-0.317942937,-0.379662089,-0.506286414,0.060,-0.157
0.005850759,-0.037686022,-0.175182375,-0.219322853,-0.035,-0.018
-0.241247449,0.244071146,0.331480394,0.381971414,-0.035,-0.065
-0.000319418,0.649916633,0.776105658,1.07750133,-0.167,0.178
-0.176330622,-0.099984104,0.230230501,0.167817183,-0.167,-0.123
-0.153496286,-0.032713838,-0.157435229,-0.213282316,-0.033,-0.154
