CS,FS,S,C,flux,total
0.24,0.515,0.343,0.332,-0.256,0.428
-0.508,-0.227,-0.066,-0.164,0.089,-0.262
-0.659,0.221,0.411,0.43,-0.058,-0.066
-0.638,-0.035,0.117,0.202,-0.124,-0.068
0.136,0.04,0.247,-0.156,-0.052,0.108
