CS,FS,S,C,flux,total
-0.487,-0.355,-0.39,-0.407,0.204543602,-0.432
0.554,0.434,0.452,0.499,-0.31661375,0.509
-0.041,0.85,0.867,0.925,-0.110172084,0.247
-0.249,-0.425,-0.475,-0.53,0.06040578,-0.336
-0.075,0.06,-0.024,-0.054,-0.034732918,-0.033
-0.068,0.24,0.443,0.524,-0.167464167,0.045
0.032,0.12,-0.294,-0.343,-0.033378369,0.045
