same,different
0.362,0.6376
0.399,0.6269
0.492,0.6731
0.511,0.5934
0.638,0.4779
0.601,0.4308
0.508,0.5025
0.489,0.5376
0.657,0.5221
,0.5692
,0.4975
,0.4624
,0.6149
,0.3624
,0.3731
,0.3269
,0.4066
,0.7283
