same,different
1.0000,0.2145
0.2902,0.4000
0.3962,0.7521
0.1333,0.2453
0.2069,0.7077
0.3720,0.0077
0.9018,0.4087
0.4444,0.6950
0.3279,0.2857
,1.1527
,0.9884
,0.6263
,0.5882
,0.5586
,1.0058
,0.6328
,0.6788
,0.3208
,0.1538
,0.2418
