same,different
0.8473,0.1645
0.2188,0.3568
0.3733,0.6469
0.4130,0.0384
0.1645,0.4905
0.4973,0.0000
0.6140,0.1627
0.1865,0.5790
0.3151,0.3111
,0.9778
,0.8361
,0.4102
,0.0816
,0.2826
,0.8473
,0.5963
,0.3781
,0.2175
,0.1052
,0.0332
